date,asset,realized,historical_mean,ridge_restricted,ols4_restricted,random_forest,elastic_net_restricted,ols_restricted
1967-01-01,Durbl_excess,0.1135,0.01174958,0.00434332,0.0,-0.00834627,0.0,0.0
1967-01-01,Enrgy_excess,0.0315,0.00887125,0.00710967,4.38e-05,0.00908596,0.01317405,0.01124695
1967-01-01,HiTec_excess,0.0988,0.01129917,0.0107569,0.01617948,0.01439396,0.0244701,0.02366507
1967-01-01,Hlth_excess,0.0602,0.00960188,0.00959093,0.0086264,0.00852172,0.00913723,0.00802769
1967-01-01,Manuf_excess,0.1076,0.00930333,0.00622803,0.002568,0.00679279,0.00872185,0.00685561
1967-01-01,NoDur_excess,0.0896,0.00672062,0.00469557,0.00401293,0.00703098,0.00642355,0.00776104
1967-01-01,Other_excess,0.1154,0.00732396,0.00469665,0.00045288,0.00733214,0.0150313,0.01333575
1967-01-01,Shops_excess,0.1137,0.00801271,0.0,0.0,0.00148165,0.0,0.0
1967-01-01,Telcm_excess,0.0581,0.00652083,0.00651975,0.00554725,0.00948298,0.01285217,0.01546543
1967-01-01,Utils_excess,0.0241,0.00776417,0.00919258,0.01264248,0.01344149,0.01995276,0.02128533
1967-02-01,Durbl_excess,-0.0145,0.01196112,0.00655517,0.0,0.00431743,0.00968972,0.01160263
1967-02-01,Enrgy_excess,-0.0046,0.0089183,0.00290846,0.0,0.00650146,0.00695507,0.00482526
1967-02-01,HiTec_excess,0.0583,0.01148108,0.01204832,0.01502208,0.01776309,0.03755236,0.04278466
1967-02-01,Hlth_excess,0.0104,0.00970707,0.00970187,0.00834236,0.01109539,0.01899093,0.0223325
1967-02-01,Manuf_excess,0.0086,0.00950769,0.00585849,0.00317869,0.00720916,0.01258976,0.01048202
1967-02-01,NoDur_excess,0.0167,0.00689293,0.00647977,0.00447731,0.00917647,0.01850112,0.02524352
1967-02-01,Other_excess,-0.0068,0.00754865,0.00520548,0.00147837,0.00879376,0.02142692,0.02611709
1967-02-01,Shops_excess,0.0286,0.00823243,0.00929515,0.0,0.00610226,0.02676225,0.03438647
1967-02-01,Telcm_excess,0.0177,0.00662807,0.00663138,0.00701896,0.00866782,0.0254376,0.03332294
1967-02-01,Utils_excess,-0.0209,0.00779813,0.01463135,0.01166283,0.02495214,0.04466384,0.05112676
1967-03-01,Durbl_excess,0.0345,0.01190622,0.00711633,0.0,0.00593625,0.01415878,0.01569248
1967-03-01,Enrgy_excess,0.0323,0.00889025,0.00413361,0.0,0.00525005,0.00680112,0.01013613
1967-03-01,HiTec_excess,0.0512,0.01157822,0.01159705,0.01299486,0.01411322,0.02489268,0.02504429
1967-03-01,Hlth_excess,0.0747,0.00970851,0.00970345,0.00913562,0.01063749,0.0146073,0.01733241
1967-03-01,Manuf_excess,0.054,0.00950581,0.00670161,0.00079544,0.00813362,0.01548848,0.01897973
1967-03-01,NoDur_excess,0.0406,0.00691328,0.00575655,0.00551587,0.00778597,0.00976866,0.0088948
1967-03-01,Other_excess,0.0402,0.00751888,0.0047738,0.00040014,0.0072252,0.01385946,0.01481306
1967-03-01,Shops_excess,0.0194,0.00827469,0.00600278,0.0010182,0.0046174,0.00750979,0.00691139
1967-03-01,Telcm_excess,0.0257,0.00665104,0.00664977,0.00532044,0.00863422,0.00605221,0.00585875
1967-03-01,Utils_excess,0.0115,0.00773859,0.0085453,0.00744693,0.01004561,0.01055687,0.00932762
1967-04-01,Durbl_excess,0.1074,0.011953,0.00595975,0.00010767,0.00938448,0.00374341,0.00186273
1967-04-01,Enrgy_excess,0.0135,0.00893872,0.00531481,0.0,0.00916512,0.00865388,0.00674415
1967-04-01,HiTec_excess,0.0751,0.01166025,0.0109667,0.01111618,0.01560448,0.01955956,0.01898049
1967-04-01,Hlth_excess,0.0413,0.00984306,0.0098349,0.00932784,0.0125997,0.01059175,0.01017561
1967-04-01,Manuf_excess,0.0343,0.00959793,0.00663518,0.00032308,0.00795854,0.00788868,0.00600155
1967-04-01,NoDur_excess,0.0428,0.00698302,0.00557658,0.0054703,0.00878195,0.00865263,0.00886483
1967-04-01,Other_excess,0.0179,0.00758654,0.00518152,0.00021829,0.00792904,0.01287994,0.01156479
1967-04-01,Shops_excess,0.0889,0.00829772,0.00383638,0.00162881,0.00649587,0.00492312,0.00525275
1967-04-01,Telcm_excess,-0.001,0.00669048,0.00669079,0.00553306,0.00838551,0.0124572,0.01296879
1967-04-01,Utils_excess,0.0156,0.00774638,0.00757791,0.00599496,0.0102253,0.01233297,0.01192913
1967-05-01,Durbl_excess,-0.0768,0.01215021,0.00836241,0.00453954,0.00987792,0.01612662,0.01659981
1967-05-01,Enrgy_excess,-0.0279,0.00894814,0.002262,0.0,0.0040056,0.00162353,0.00095805
1967-05-01,HiTec_excess,-0.0467,0.01179132,0.01140559,0.00621869,0.01360939,0.02001047,0.01856834
1967-05-01,Hlth_excess,-0.0562,0.00990806,0.00990538,0.01035816,0.00937888,0.01663515,0.0185913
1967-05-01,Manuf_excess,-0.04,0.00964897,0.00633984,0.0,0.00771424,0.00634525,0.00571122
1967-05-01,NoDur_excess,-0.0305,0.00705702,0.00640738,0.00686959,0.00665471,0.01228975,0.0109451
1967-05-01,Other_excess,-0.0235,0.00760785,0.00482166,0.0,0.00791903,0.00964723,0.00901435
1967-05-01,Shops_excess,-0.049,0.00846426,0.00955449,0.00461511,0.00782013,0.01534531,0.01347082
1967-05-01,Telcm_excess,-0.0599,0.00667459,0.00667479,0.00288913,0.0072517,0.00979337,0.00808366
1967-05-01,Utils_excess,-0.0445,0.0077626,0.00853185,0.0,0.0126802,0.01146856,0.00931284
1967-06-01,Durbl_excess,0.0132,0.0119668,0.00771072,0.00592823,0.00517599,0.00696432,0.00147873
