date,asset_i,asset_j,covariance
1967-01-01,NoDur_excess,NoDur_excess,0.0024630175
1967-01-01,NoDur_excess,Durbl_excess,0.0037366281
1967-01-01,NoDur_excess,Manuf_excess,0.0033805695
1967-01-01,NoDur_excess,Enrgy_excess,0.0025186644
1967-01-01,NoDur_excess,HiTec_excess,0.0035257216
1967-01-01,NoDur_excess,Telcm_excess,0.0016994749
1967-01-01,NoDur_excess,Shops_excess,0.0029279521
1967-01-01,NoDur_excess,Hlth_excess,0.0026586536
1967-01-01,NoDur_excess,Utils_excess,0.0027456772
1967-01-01,NoDur_excess,Other_excess,0.00331231
1967-01-01,Durbl_excess,NoDur_excess,0.0037366281
1967-01-01,Durbl_excess,Durbl_excess,0.0083340385
1967-01-01,Durbl_excess,Manuf_excess,0.0062212849
1967-01-01,Durbl_excess,Enrgy_excess,0.0045171306
1967-01-01,Durbl_excess,HiTec_excess,0.0062573041
1967-01-01,Durbl_excess,Telcm_excess,0.0028327991
1967-01-01,Durbl_excess,Shops_excess,0.0049960165
1967-01-01,Durbl_excess,Hlth_excess,0.0041846785
1967-01-01,Durbl_excess,Utils_excess,0.0045765624
1967-01-01,Durbl_excess,Other_excess,0.0056951364
1967-01-01,Manuf_excess,NoDur_excess,0.0033805695
1967-01-01,Manuf_excess,Durbl_excess,0.0062212849
1967-01-01,Manuf_excess,Manuf_excess,0.0057963893
1967-01-01,Manuf_excess,Enrgy_excess,0.0042031288
1967-01-01,Manuf_excess,HiTec_excess,0.0057305391
1967-01-01,Manuf_excess,Telcm_excess,0.0026026812
1967-01-01,Manuf_excess,Shops_excess,0.0043330226
1967-01-01,Manuf_excess,Hlth_excess,0.0038797966
1967-01-01,Manuf_excess,Utils_excess,0.004144247
1967-01-01,Manuf_excess,Other_excess,0.0053380369
1967-01-01,Enrgy_excess,NoDur_excess,0.0025186644
1967-01-01,Enrgy_excess,Durbl_excess,0.0045171306
1967-01-01,Enrgy_excess,Manuf_excess,0.0042031288
1967-01-01,Enrgy_excess,Enrgy_excess,0.0045679516
1967-01-01,Enrgy_excess,HiTec_excess,0.0041238941
1967-01-01,Enrgy_excess,Telcm_excess,0.001920749
1967-01-01,Enrgy_excess,Shops_excess,0.0032153683
1967-01-01,Enrgy_excess,Hlth_excess,0.002935957
1967-01-01,Enrgy_excess,Utils_excess,0.0031640335
1967-01-01,Enrgy_excess,Other_excess,0.0040263267
1967-01-01,HiTec_excess,NoDur_excess,0.0035257216
1967-01-01,HiTec_excess,Durbl_excess,0.0062573041
1967-01-01,HiTec_excess,Manuf_excess,0.0057305391
1967-01-01,HiTec_excess,Enrgy_excess,0.0041238941
1967-01-01,HiTec_excess,HiTec_excess,0.006538212
1967-01-01,HiTec_excess,Telcm_excess,0.0027777758
1967-01-01,HiTec_excess,Shops_excess,0.0045418131
1967-01-01,HiTec_excess,Hlth_excess,0.0041671005
1967-01-01,HiTec_excess,Utils_excess,0.0045965118
1967-01-01,HiTec_excess,Other_excess,0.0053832556
1967-01-01,Telcm_excess,NoDur_excess,0.0016994749
1967-01-01,Telcm_excess,Durbl_excess,0.0028327991
1967-01-01,Telcm_excess,Manuf_excess,0.0026026812
1967-01-01,Telcm_excess,Enrgy_excess,0.001920749
1967-01-01,Telcm_excess,HiTec_excess,0.0027777758
1967-01-01,Telcm_excess,Telcm_excess,0.0020292698
1967-01-01,Telcm_excess,Shops_excess,0.0021734494
1967-01-01,Telcm_excess,Hlth_excess,0.0019705914
1967-01-01,Telcm_excess,Utils_excess,0.0024492439
1967-01-01,Telcm_excess,Other_excess,0.0026124121
1967-01-01,Shops_excess,NoDur_excess,0.0029279521
1967-01-01,Shops_excess,Durbl_excess,0.0049960165
1967-01-01,Shops_excess,Manuf_excess,0.0043330226
1967-01-01,Shops_excess,Enrgy_excess,0.0032153683
1967-01-01,Shops_excess,HiTec_excess,0.0045418131
