asset,MSPE_HistoricalMean,MSPE_ElasticNet,MSPE_ElasticNetRestricted,RMSPE_HistoricalMean,RMSPE_ElasticNet,RMSPE_ElasticNetRestricted,R2OS_ElasticNet,R2OS_ElasticNetRestricted
NoDur_excess,0.001849,0.001859,0.001851,0.043,0.043122,0.043017,-0.005685,-0.000834
Durbl_excess,0.005603,0.005684,0.00561,0.07485,0.075391,0.074897,-0.014508,-0.001265
Manuf_excess,0.002581,0.002668,0.002606,0.050805,0.05165,0.051053,-0.033532,-0.009765
Enrgy_excess,0.003842,0.00396,0.003893,0.061985,0.062926,0.062393,-0.030596,-0.013216
HiTec_excess,0.004191,0.004312,0.004238,0.06474,0.065662,0.065099,-0.028684,-0.01111
Telcm_excess,0.002294,0.002321,0.002293,0.047897,0.048174,0.047884,-0.011564,0.000547
Shops_excess,0.002766,0.002787,0.002754,0.052589,0.052794,0.052479,-0.007822,0.004161
Hlth_excess,0.00236,0.002396,0.002381,0.04858,0.048952,0.048791,-0.015357,-0.008708
Utils_excess,0.001709,0.001768,0.001733,0.041337,0.042052,0.041625,-0.034924,-0.014013
Other_excess,0.002911,0.003022,0.00295,0.053949,0.054969,0.054318,-0.038165,-0.013726
