date,asset,realized,historical_mean,elastic_net,elastic_net_restricted,elastic_net_alpha,elastic_net_l1_ratio
1967-01-01,NoDur_excess,0.0896,0.00672062,0.00642355,0.00642355,0.001,0.5
1967-01-01,Durbl_excess,0.1135,0.01174958,-0.00277134,0.0,0.001,0.5
1967-01-01,Manuf_excess,0.1076,0.00930333,0.00872185,0.00872185,0.001,0.5
1967-01-01,Enrgy_excess,0.0315,0.00887125,0.01317405,0.01317405,0.001,0.5
1967-01-01,HiTec_excess,0.0988,0.01129917,0.0244701,0.0244701,0.001,0.5
1967-01-01,Telcm_excess,0.0581,0.00652083,0.01285217,0.01285217,0.001,0.5
1967-01-01,Shops_excess,0.1137,0.00801271,-0.00242659,0.0,0.001,0.5
1967-01-01,Hlth_excess,0.0602,0.00960188,0.00913723,0.00913723,0.001,0.5
1967-01-01,Utils_excess,0.0241,0.00776417,0.01995276,0.01995276,0.001,0.5
1967-01-01,Other_excess,0.1154,0.00732396,0.0150313,0.0150313,0.001,0.5
1967-02-01,NoDur_excess,0.0167,0.00689293,0.01850112,0.01850112,0.001,0.5
1967-02-01,Durbl_excess,-0.0145,0.01196112,0.00968972,0.00968972,0.001,0.5
1967-02-01,Manuf_excess,0.0086,0.00950769,0.01258976,0.01258976,0.001,0.5
1967-02-01,Enrgy_excess,-0.0046,0.0089183,0.00695507,0.00695507,0.001,0.5
1967-02-01,HiTec_excess,0.0583,0.01148108,0.03755236,0.03755236,0.001,0.5
1967-02-01,Telcm_excess,0.0177,0.00662807,0.0254376,0.0254376,0.001,0.5
1967-02-01,Shops_excess,0.0286,0.00823243,0.02676225,0.02676225,0.001,0.5
1967-02-01,Hlth_excess,0.0104,0.00970707,0.01899093,0.01899093,0.001,0.5
1967-02-01,Utils_excess,-0.0209,0.00779813,0.04466384,0.04466384,0.001,0.5
1967-02-01,Other_excess,-0.0068,0.00754865,0.02142692,0.02142692,0.001,0.5
1967-03-01,NoDur_excess,0.0406,0.00691328,0.00976866,0.00976866,0.001,0.5
1967-03-01,Durbl_excess,0.0345,0.01190622,0.01415878,0.01415878,0.001,0.5
1967-03-01,Manuf_excess,0.054,0.00950581,0.01548848,0.01548848,0.001,0.5
1967-03-01,Enrgy_excess,0.0323,0.00889025,0.00680112,0.00680112,0.001,0.5
1967-03-01,HiTec_excess,0.0512,0.01157822,0.02489268,0.02489268,0.001,0.5
1967-03-01,Telcm_excess,0.0257,0.00665104,0.00605221,0.00605221,0.001,0.5
1967-03-01,Shops_excess,0.0194,0.00827469,0.00750979,0.00750979,0.001,0.5
1967-03-01,Hlth_excess,0.0747,0.00970851,0.0146073,0.0146073,0.001,0.5
1967-03-01,Utils_excess,0.0115,0.00773859,0.01055687,0.01055687,0.001,0.5
1967-03-01,Other_excess,0.0402,0.00751888,0.01385946,0.01385946,0.001,0.5
1967-04-01,NoDur_excess,0.0428,0.00698302,0.00865263,0.00865263,0.001,0.5
1967-04-01,Durbl_excess,0.1074,0.011953,0.00374341,0.00374341,0.001,0.5
1967-04-01,Manuf_excess,0.0343,0.00959793,0.00788868,0.00788868,0.001,0.5
1967-04-01,Enrgy_excess,0.0135,0.00893872,0.00865388,0.00865388,0.001,0.5
1967-04-01,HiTec_excess,0.0751,0.01166025,0.01955956,0.01955956,0.001,0.5
1967-04-01,Telcm_excess,-0.001,0.00669048,0.0124572,0.0124572,0.001,0.5
1967-04-01,Shops_excess,0.0889,0.00829772,0.00492312,0.00492312,0.001,0.5
1967-04-01,Hlth_excess,0.0413,0.00984306,0.01059175,0.01059175,0.001,0.5
1967-04-01,Utils_excess,0.0156,0.00774638,0.01233297,0.01233297,0.001,0.5
1967-04-01,Other_excess,0.0179,0.00758654,0.01287994,0.01287994,0.001,0.5
1967-05-01,NoDur_excess,-0.0305,0.00705702,0.01228975,0.01228975,0.001,0.5
1967-05-01,Durbl_excess,-0.0768,0.01215021,0.01612662,0.01612662,0.001,0.5
1967-05-01,Manuf_excess,-0.04,0.00964897,0.00634525,0.00634525,0.001,0.5
1967-05-01,Enrgy_excess,-0.0279,0.00894814,0.00162353,0.00162353,0.001,0.5
1967-05-01,HiTec_excess,-0.0467,0.01179132,0.02001047,0.02001047,0.001,0.5
1967-05-01,Telcm_excess,-0.0599,0.00667459,0.00979337,0.00979337,0.001,0.5
1967-05-01,Shops_excess,-0.049,0.00846426,0.01534531,0.01534531,0.001,0.5
1967-05-01,Hlth_excess,-0.0562,0.00990806,0.01663515,0.01663515,0.001,0.5
1967-05-01,Utils_excess,-0.0445,0.0077626,0.01146856,0.01146856,0.001,0.5
1967-05-01,Other_excess,-0.0235,0.00760785,0.00964723,0.00964723,0.001,0.5
1967-06-01,NoDur_excess,0.0248,0.00697959,0.0028998,0.0028998,0.001,0.5
1967-06-01,Durbl_excess,0.0132,0.0119668,0.00696432,0.00696432,0.001,0.5
1967-06-01,Manuf_excess,0.0183,0.0095466,-0.00077103,0.0,0.001,0.5
1967-06-01,Enrgy_excess,0.0201,0.00887216,0.00469156,0.00469156,0.001,0.5
1967-06-01,HiTec_excess,0.0615,0.01167072,0.00229815,0.00229815,0.001,0.5
1967-06-01,Telcm_excess,0.0246,0.00653732,-0.0010928,0.0,0.001,0.5
1967-06-01,Shops_excess,0.0351,0.00834577,-0.00706972,0.0,0.001,0.5
1967-06-01,Hlth_excess,0.0514,0.00977175,0.00776017,0.00776017,0.001,0.5
1967-06-01,Utils_excess,-0.0158,0.00765485,-0.01318223,0.0,0.001,0.5
1967-06-01,Other_excess,0.0324,0.00754371,0.00124272,0.00124272,0.001,0.5
1967-07-01,NoDur_excess,0.0574,0.00701626,0.00797452,0.00797452,0.001,0.5
1967-07-01,Durbl_excess,0.108,0.01196934,0.01221314,0.01221314,0.001,0.5
1967-07-01,Manuf_excess,0.0472,0.00956461,-0.0034409,0.0,0.001,0.5
1967-07-01,Enrgy_excess,0.0662,0.00889527,-0.00075058,0.0,0.001,0.5
1967-07-01,HiTec_excess,0.0368,0.01177325,0.00732973,0.00732973,0.001,0.5
1967-07-01,Telcm_excess,-0.0689,0.00657449,0.00180644,0.00180644,0.001,0.5
1967-07-01,Shops_excess,0.0569,0.00840082,0.00586783,0.00586783,0.001,0.5
1967-07-01,Hlth_excess,0.0348,0.00985741,0.01310505,0.01310505,0.001,0.5
1967-07-01,Utils_excess,0.0202,0.00760658,-0.0064298,0.0,0.001,0.5
1967-07-01,Other_excess,0.0751,0.00759486,0.00102403,0.00102403,0.001,0.5
1967-08-01,NoDur_excess,-0.0113,0.00711971,0.00778193,0.00778193,0.001,0.5
1967-08-01,Durbl_excess,-0.0017,0.01216653,0.0045456,0.0045456,0.001,0.5
1967-08-01,Manuf_excess,-0.0071,0.00964189,-0.00163805,0.0,0.001,0.5
1967-08-01,Enrgy_excess,-0.0179,0.00901294,0.00336285,0.00336285,0.001,0.5
1967-08-01,HiTec_excess,-0.0132,0.01182464,0.01183778,0.01183778,0.001,0.5
1967-08-01,Telcm_excess,-0.0155,0.00641951,0.00689756,0.00689756,0.001,0.5
1967-08-01,Shops_excess,0.0002,0.00850041,0.00674811,0.00674811,0.001,0.5
1967-08-01,Hlth_excess,0.0034,0.00990862,0.01025708,0.01025708,0.001,0.5
1967-08-01,Utils_excess,-0.0096,0.00763244,0.00277998,0.00277998,0.001,0.5
1967-08-01,Other_excess,-0.0056,0.00773347,0.00577493,0.00577493,0.001,0.5
1967-09-01,NoDur_excess,0.0278,0.00708197,0.00929564,0.00929564,0.001,0.5
1967-09-01,Durbl_excess,0.0466,0.01213811,0.00760928,0.00760928,0.001,0.5
1967-09-01,Manuf_excess,0.0279,0.00960758,-0.00092614,0.0,0.001,0.5
1967-09-01,Enrgy_excess,0.0392,0.00895779,0.00139885,0.00139885,0.001,0.5
1967-09-01,HiTec_excess,0.0804,0.01177336,0.01333149,0.01333149,0.001,0.5
1967-09-01,Telcm_excess,0.009,0.00637459,0.00530477,0.00530477,0.001,0.5
1967-09-01,Shops_excess,0.0213,0.0084834,0.01031257,0.01031257,0.001,0.5
1967-09-01,Hlth_excess,0.0258,0.00989529,0.01215439,0.01215439,0.001,0.5
1967-09-01,Utils_excess,-0.0042,0.00759713,0.0041588,0.0041588,0.001,0.5
1967-09-01,Other_excess,0.0095,0.00770615,0.00560454,0.00560454,0.001,0.5
1967-10-01,NoDur_excess,-0.0301,0.00712434,0.00976694,0.00976694,0.001,0.5
1967-10-01,Durbl_excess,-0.053,0.01220859,0.00636114,0.00636114,0.001,0.5
1967-10-01,Manuf_excess,-0.0491,0.00964499,-0.00072415,0.0,0.001,0.5
1967-10-01,Enrgy_excess,-0.0135,0.00901963,0.00152474,0.00152474,0.001,0.5
1967-10-01,HiTec_excess,0.045,0.0119137,0.01681727,0.01681727,0.001,0.5
1967-10-01,Telcm_excess,-0.0388,0.00637996,0.00881287,0.00881287,0.001,0.5
1967-10-01,Shops_excess,0.0027,0.00850961,0.01219587,0.01219587,0.001,0.5
1967-10-01,Hlth_excess,-0.0542,0.00992781,0.01179589,0.01179589,0.001,0.5
1967-10-01,Utils_excess,-0.0576,0.00757301,0.00836401,0.00836401,0.001,0.5
1967-10-01,Other_excess,-0.0543,0.00770982,0.00678976,0.00678976,0.001,0.5
1967-11-01,NoDur_excess,0.0013,0.00704837,0.01047973,0.01047973,0.001,0.5
1967-11-01,Durbl_excess,-0.0132,0.01207551,0.01452302,0.01452302,0.001,0.5
1967-11-01,Manuf_excess,0.0027,0.0095251,0.00200317,0.00200317,0.001,0.5
1967-11-01,Enrgy_excess,0.0042,0.00897367,0.0023264,0.0023264,0.001,0.5
1967-11-01,HiTec_excess,0.0106,0.01198122,0.01648783,0.01648783,0.001,0.5
1967-11-01,Telcm_excess,-0.0028,0.00628776,-0.00369256,0.0,0.001,0.5
1967-11-01,Shops_excess,0.0048,0.00849776,0.01029197,0.01029197,0.001,0.5
1967-11-01,Hlth_excess,0.0097,0.00979694,0.01490355,0.01490355,0.001,0.5
1967-11-01,Utils_excess,0.0283,0.00744,-0.00536393,0.0,0.001,0.5
1967-11-01,Other_excess,-0.0068,0.00758327,0.00318414,0.00318414,0.001,0.5
1967-12-01,NoDur_excess,0.028,0.00703666,0.00681656,0.00681656,0.001,0.5
1967-12-01,Durbl_excess,0.0055,0.01202403,0.00773194,0.00773194,0.001,0.5
1967-12-01,Manuf_excess,0.0487,0.0095112,-0.00290948,0.0,0.001,0.5
