date,asset,realized,random_forest,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,rf_min_samples_split,rf_max_features
1967-01-01,NoDur_excess,0.0896,0.00703098,300,3,20,10,0.3
1967-01-01,Durbl_excess,0.1135,-0.00834627,500,3,5,20,0.3
1967-01-01,Manuf_excess,0.1076,0.00679279,300,3,10,20,sqrt
1967-01-01,Enrgy_excess,0.0315,0.00908596,300,3,20,10,0.3
1967-01-01,HiTec_excess,0.0988,0.01439396,300,3,10,10,0.3
1967-01-01,Telcm_excess,0.0581,0.00948298,300,3,5,20,0.3
1967-01-01,Shops_excess,0.1137,0.00148165,300,3,20,10,0.3
1967-01-01,Hlth_excess,0.0602,0.00852172,300,3,20,10,0.3
1967-01-01,Utils_excess,0.0241,0.01344149,300,3,5,20,0.3
1967-01-01,Other_excess,0.1154,0.00733214,500,3,10,10,0.3
1967-02-01,NoDur_excess,0.0167,0.00917647,300,3,20,10,0.3
1967-02-01,Durbl_excess,-0.0145,0.00431743,500,3,5,20,0.3
1967-02-01,Manuf_excess,0.0086,0.00720916,300,3,10,20,sqrt
1967-02-01,Enrgy_excess,-0.0046,0.00650146,300,3,20,10,0.3
1967-02-01,HiTec_excess,0.0583,0.01776309,300,3,10,10,0.3
1967-02-01,Telcm_excess,0.0177,0.00866782,300,3,5,20,0.3
1967-02-01,Shops_excess,0.0286,0.00610226,300,3,20,10,0.3
1967-02-01,Hlth_excess,0.0104,0.01109539,300,3,20,10,0.3
1967-02-01,Utils_excess,-0.0209,0.02495214,300,3,5,20,0.3
1967-02-01,Other_excess,-0.0068,0.00879376,500,3,10,10,0.3
1967-03-01,NoDur_excess,0.0406,0.00778597,300,3,20,10,0.3
1967-03-01,Durbl_excess,0.0345,0.00593625,500,3,5,20,0.3
1967-03-01,Manuf_excess,0.054,0.00813362,300,3,10,20,sqrt
1967-03-01,Enrgy_excess,0.0323,0.00525005,300,3,20,10,0.3
1967-03-01,HiTec_excess,0.0512,0.01411322,300,3,10,10,0.3
1967-03-01,Telcm_excess,0.0257,0.00863422,300,3,5,20,0.3
1967-03-01,Shops_excess,0.0194,0.0046174,300,3,20,10,0.3
1967-03-01,Hlth_excess,0.0747,0.01063749,300,3,20,10,0.3
