date,asset,realized,historical_mean,ols_restricted,ols4_restricted,ridge_restricted,elastic_net_restricted,random_forest
1967-01-01,Durbl_excess,0.1135,0.01174958,0.0,0.0,0.00434332,0.0,-0.00834627
1967-02-01,Durbl_excess,-0.0145,0.01196112,0.01160263,0.0,0.00655517,0.00968972,0.00431743
1967-03-01,Durbl_excess,0.0345,0.01190622,0.01569248,0.0,0.00711633,0.01415878,0.00593625
1967-04-01,Durbl_excess,0.1074,0.011953,0.00186273,0.00010767,0.00595975,0.00374341,0.00938448
1967-05-01,Durbl_excess,-0.0768,0.01215021,0.01659981,0.00453954,0.00836241,0.01612662,0.00987792
1967-06-01,Durbl_excess,0.0132,0.0119668,0.00147873,0.00592823,0.00771072,0.00696432,0.00517599
1967-07-01,Durbl_excess,0.108,0.01196934,0.00788492,0.00783981,0.00870039,0.01221314,0.00957141
1967-08-01,Durbl_excess,-0.0017,0.01216653,0.0,0.00565782,0.00710369,0.0045456,0.00758152
1967-09-01,Durbl_excess,0.0466,0.01213811,0.00325053,0.00637546,0.00770009,0.00760928,0.00777103
1967-10-01,Durbl_excess,-0.053,0.01220859,0.00244787,0.00606544,0.00736687,0.00636114,0.00572013
1967-11-01,Durbl_excess,-0.0132,0.01207551,0.01070211,0.0075083,0.00849605,0.01452302,0.00428721
1967-12-01,Durbl_excess,0.0055,0.01202403,0.00060571,0.00732654,0.00752704,0.00773194,0.00261027
1968-01-01,Durbl_excess,-0.0555,0.01201077,0.0,0.00456619,0.00545218,0.0,0.00273633
1968-02-01,Durbl_excess,-0.0273,0.01187383,0.0,0.00204101,0.00498079,0.0,0.00555678
1968-03-01,Durbl_excess,0.0027,0.01179453,0.0,0.00274824,0.00657083,0.00481413,0.00575446
1968-04-01,Durbl_excess,0.1126,0.01177616,0.00532786,0.00302563,0.0068034,0.00925901,0.00641948
1968-05-01,Durbl_excess,-0.0079,0.01197944,0.0,0.00197415,0.00519311,0.0,0.00457217
1968-06-01,Durbl_excess,-0.0185,0.01193944,0.00236608,0.0,0.00535486,0.00492148,0.0052463
1968-07-01,Durbl_excess,-0.034,0.01187831,0.0,0.0,0.00429342,0.0,0.00428794
1968-08-01,Durbl_excess,0.0083,0.01178637,0.0,0.0,0.00433237,0.0,0.00388029
1968-09-01,Durbl_excess,0.0621,0.0117794,0.00713786,0.00050921,0.00580845,0.0068318,0.00546158
1968-10-01,Durbl_excess,0.0423,0.01187984,0.00944857,0.00115199,0.00582126,0.00916925,0.00591869
1968-11-01,Durbl_excess,-0.0056,0.01194044,0.00546535,0.00177459,0.00542367,0.00672321,0.00603964
1968-12-01,Durbl_excess,-0.0489,0.01190557,0.0123214,0.00244228,0.00583085,0.01195552,0.00488409
1969-01-01,Durbl_excess,-0.0225,0.01178492,0.01168008,0.00220152,0.00525548,0.01168055,0.00539945
1969-02-01,Durbl_excess,-0.0404,0.01171703,0.00446489,0.00225811,0.00456643,0.00600218,0.0035422
1969-03-01,Durbl_excess,0.0464,0.01161403,0.0,0.00197691,0.0026779,0.0,0.00666033
1969-04-01,Durbl_excess,0.0069,0.01168264,0.0,0.00357176,0.00322549,0.0,0.0054554
1969-05-01,Durbl_excess,-0.0035,0.01167323,0.0,0.0003931,0.00193359,0.0,0.0018514
1969-06-01,Durbl_excess,-0.065,0.01164342,0.01683334,0.00465067,0.00542804,0.01597241,0.00545793
1969-07-01,Durbl_excess,-0.075,0.01149314,0.0,0.00041076,0.00264626,0.0,0.00717399
1969-08-01,Durbl_excess,0.0223,0.01132387,0.0,0.0,0.00236352,0.00177032,0.00378491
1969-09-01,Durbl_excess,-0.0068,0.01134531,0.0044374,0.0,0.00291943,0.00501128,0.00646778
1969-10-01,Durbl_excess,0.0326,0.01130994,0.01546871,0.00057146,0.00470784,0.01491577,0.00665998
1969-11-01,Durbl_excess,-0.05,0.01135136,0.0,0.0,0.00156225,0.0,-0.00108445
1969-12-01,Durbl_excess,-0.0408,0.01123223,0.00191784,0.0,0.00295715,0.00543422,-4.158e-05
1970-01-01,Durbl_excess,-0.0885,0.0111314,0.0,0.0,0.00264585,0.0,0.00077882
1970-02-01,Durbl_excess,0.0498,0.01093868,0.0,0.0,0.00318515,0.0,-0.00058874
1970-03-01,Durbl_excess,0.043,0.01101371,0.0,0.0,0.00145384,0.0,-0.00086942
1970-04-01,Durbl_excess,-0.0936,0.01107534,0.0,0.00113013,0.00444794,0.00206592,0.00376748
1970-05-01,Durbl_excess,-0.07,0.01087404,0.0,0.00246575,0.00571834,0.00196894,0.00367614
1970-06-01,Durbl_excess,-0.0473,0.01071881,0.0,0.0,0.00685713,0.0061201,-0.00096849
1970-07-01,Durbl_excess,0.1008,0.01060766,0.0,0.0,0.0036415,0.0,-0.00583203
1970-08-01,Durbl_excess,0.0775,0.01078011,0.0,0.00219119,0.00484916,0.0,0.0007869
1970-09-01,Durbl_excess,0.0215,0.01090744,0.00012922,0.00606123,0.00610893,0.00408685,0.00190296
1970-10-01,Durbl_excess,-0.0246,0.01092762,0.0,0.0067032,0.00561438,0.0,0.00083005
1970-11-01,Durbl_excess,0.0652,0.01086008,0.0,0.00764563,0.00595911,0.0,0.00029865
1970-12-01,Durbl_excess,0.0575,0.01096319,0.0,0.00871674,0.00602318,0.0,1.732e-05
1971-01-01,Durbl_excess,0.0349,0.01105133,0.00754424,0.01223825,0.00700059,0.00613666,-0.00202744
1971-02-01,Durbl_excess,0.0191,0.01109641,0.00857571,0.01162097,0.00750368,0.00781933,-8.516e-05
1971-03-01,Durbl_excess,0.0314,0.01111151,0.0,0.01707227,0.00795795,0.00345535,0.00631872
1971-04-01,Durbl_excess,0.0821,0.01114972,0.00799988,0.01581911,0.00836354,0.00888639,-0.0013507
1971-05-01,Durbl_excess,-0.0457,0.01128308,0.01085019,0.01614132,0.00761863,0.01168924,0.00467237
1971-06-01,Durbl_excess,-0.0103,0.01117617,0.00407809,0.01346224,0.00713134,0.0070012,0.00530185
1971-07-01,Durbl_excess,-0.0595,0.01113596,0.00839667,0.0104122,0.00647142,0.00795573,0.00073628
1971-08-01,Durbl_excess,0.1013,0.01100393,0.0072139,0.00601305,0.00647318,0.00862879,0.00437663
1971-09-01,Durbl_excess,-0.0044,0.01117239,0.01723505,0.0074478,0.00760499,0.01259432,0.00293526
1971-10-01,Durbl_excess,-0.0558,0.01114339,0.01273292,0.00790801,0.00756761,0.01315475,0.00138588
1971-11-01,Durbl_excess,-0.0004,0.01101896,0.0188321,0.00823596,0.00777147,0.01529522,0.00805985
1971-12-01,Durbl_excess,0.0577,0.01099777,0.02175348,0.01010254,0.00842952,0.0187386,0.00871046
1972-01-01,Durbl_excess,0.0294,0.01108426,0.02087086,0.01057957,0.00734122,0.01550104,0.00402273
1972-02-01,Durbl_excess,0.0059,0.01111811,0.02092506,0.01481647,0.00836263,0.01801891,0.00506324
1972-03-01,Durbl_excess,0.0396,0.01110849,0.01556777,0.01458697,0.00777084,0.01294192,0.00322547
1972-04-01,Durbl_excess,-0.0082,0.01116096,0.02279497,0.01298997,0.00787736,0.01902061,0.00736819
1972-05-01,Durbl_excess,-0.0132,0.01112537,0.01961836,0.01246685,0.00769981,0.01672633,0.00670098
1972-06-01,Durbl_excess,-0.0318,0.01108073,0.02028062,0.01021806,0.00773022,0.01638113,0.00609272
1972-07-01,Durbl_excess,-0.0244,0.0110022,0.02067189,0.00931822,0.00725858,0.01690427,0.00608111
1972-08-01,Durbl_excess,0.0349,0.01093748,0.01859674,0.00747362,0.00701789,0.01446728,0.00570506
1972-09-01,Durbl_excess,-0.0123,0.0109812,0.02266789,0.00711996,0.00697315,0.01698333,0.00597923
1972-10-01,Durbl_excess,-0.0284,0.0109388,0.02129603,0.00380461,0.0060408,0.01622097,0.00340169
1972-11-01,Durbl_excess,0.0757,0.01086727,0.01780029,0.0019168,0.00573065,0.01328992,0.00231376
1972-12-01,Durbl_excess,0.0127,0.01098494,0.02235666,0.00089741,0.00571778,0.0151801,0.00380312
1973-01-01,Durbl_excess,-0.0714,0.01098804,0.02168558,0.0007549,0.00486267,0.01526901,0.00277486
1973-02-01,Durbl_excess,-0.0627,0.01083906,0.01251352,0.00374019,0.004459,0.01015388,0.00099458
1973-03-01,Durbl_excess,-0.0328,0.01070632,0.00833099,0.0023077,0.00448602,0.00725665,0.00395687
1973-04-01,Durbl_excess,-0.0571,0.01062793,0.01170062,0.0,0.00402896,0.0091909,0.00391725
1973-05-01,Durbl_excess,-0.0474,0.01050612,0.01483505,0.0,0.00423593,0.0110448,0.00415317
1973-06-01,Durbl_excess,-0.0305,0.01040215,0.01323954,0.0,0.00406387,0.01057826,0.00090208
1973-07-01,Durbl_excess,0.0662,0.01032885,0.0125382,0.0,0.00312157,0.00950744,0.00042064
1973-08-01,Durbl_excess,-0.0464,0.0104288,0.01046408,0.0,0.00233702,0.0103063,0.00286759
1973-09-01,Durbl_excess,0.0714,0.01032732,0.00958234,0.0,0.00117245,0.00277053,-0.00031915
1973-10-01,Durbl_excess,-0.05,0.01043619,0.02793041,0.0,0.00361596,0.01690513,0.00407677
1973-11-01,Durbl_excess,-0.1687,0.01032865,0.01095653,0.0,0.00358079,0.00803271,-0.00015466
1973-12-01,Durbl_excess,-0.044,0.01001066,0.01918343,0.0,0.00336516,0.01318973,-0.00581858
1974-01-01,Durbl_excess,0.0547,0.00991489,0.01075911,0.0,0.00502036,0.00991591,-0.00301104
1974-02-01,Durbl_excess,-0.0165,0.00999416,0.00553592,0.0,0.00451898,0.00678789,-0.00146343
1974-03-01,Durbl_excess,-0.0066,0.00994735,0.0,0.0,0.00480615,0.00141402,0.00384161
1974-04-01,Durbl_excess,-0.0482,0.00991817,0.0,0.0,0.00411884,0.00235272,0.00333091
1974-05-01,Durbl_excess,-0.0031,0.00981585,0.0,0.0,0.00481896,0.00451626,0.00573517
1974-06-01,Durbl_excess,-0.0324,0.00979315,0.0,0.0,0.00538536,0.00362647,0.00461906
1974-07-01,Durbl_excess,-0.1261,0.00971912,0.0,0.0,0.00622926,0.00295934,-0.00161814
1974-08-01,Durbl_excess,-0.0731,0.00948126,0.0,0.0,0.00693366,0.00052326,0.00300605
1974-09-01,Durbl_excess,-0.1379,0.00933689,0.0,0.0,0.00517682,0.0,-0.00075601
1974-10-01,Durbl_excess,0.0399,0.00907993,0.00121272,0.0,0.00841422,0.00483552,-0.00476392
1974-11-01,Durbl_excess,-0.0533,0.00913362,0.02967415,0.0,0.01016036,0.02230829,-0.00432186
1974-12-01,Durbl_excess,-0.0479,0.00902504,0.01931305,0.0,0.00893901,0.01335223,-0.00881334
1975-01-01,Durbl_excess,0.2094,0.00892622,0.0141568,0.0,0.00875064,0.00990626,-0.00977111
1975-02-01,Durbl_excess,0.0456,0.00927366,0.02187608,0.00522803,0.01129486,0.01464614,0.00245263
1975-03-01,Durbl_excess,0.0621,0.00933651,0.00881638,0.00920355,0.01077628,0.00704638,0.00895515
1975-04-01,Durbl_excess,0.0364,0.00942763,0.00751464,0.01070452,0.0104413,0.00859527,0.01727494
1975-05-01,Durbl_excess,0.0216,0.00947414,0.0,0.01061112,0.00967087,0.00276084,0.01424726
1975-06-01,Durbl_excess,0.0983,0.00949501,0.00236313,0.01269541,0.01045955,0.00357673,0.01546396
1975-07-01,Durbl_excess,-0.025,0.00964759,0.00772387,0.01447673,0.01008448,0.00679758,0.014778
1975-08-01,Durbl_excess,-0.0396,0.00958816,0.0,0.00996632,0.00793777,0.0,0.00835288
1975-09-01,Durbl_excess,-0.0298,0.00950394,0.0,0.0073852,0.00858556,0.00226278,0.00913219
1975-10-01,Durbl_excess,0.0835,0.00943675,0.0,0.00751207,0.00849789,0.0,0.01057753
1975-11-01,Durbl_excess,0.0286,0.00956314,0.01055699,0.0103617,0.01023066,0.00900239,0.01097592
1975-12-01,Durbl_excess,-0.0093,0.00959557,0.0,0.01392472,0.0092419,0.00218284,0.01138086
1976-01-01,Durbl_excess,0.1517,0.00956344,0.01351106,0.01214101,0.01091202,0.01161624,0.01427456
1976-02-01,Durbl_excess,0.0353,0.00980475,0.01529297,0.01749742,0.01084576,0.01320474,0.01231158
1976-03-01,Durbl_excess,0.0314,0.00984797,0.01140424,0.01767952,0.01051776,0.01099157,0.01363522
1976-04-01,Durbl_excess,0.0143,0.00988443,0.01978878,0.01593084,0.01124762,0.01761208,0.01418099
1976-05-01,Durbl_excess,-0.035,0.00989189,0.01398191,0.01707569,0.01096106,0.0137662,0.01378384
1976-06-01,Durbl_excess,0.0381,0.00981619,0.0032881,0.01404144,0.00945246,0.00597397,0.00770427
1976-07-01,Durbl_excess,-0.0154,0.0098638,0.01142132,0.01217903,0.00979477,0.0115085,0.01104721
1976-08-01,Durbl_excess,-0.0188,0.00982134,0.0120172,0.01267125,0.00982434,0.01171611,0.01216922
1976-09-01,Durbl_excess,0.0405,0.00977332,0.01337183,0.0115544,0.01008456,0.01278545,0.01166703
1976-10-01,Durbl_excess,-0.0157,0.00982479,0.01336114,0.01118607,0.00977294,0.01340959,0.01158482
1976-11-01,Durbl_excess,-0.0111,0.00978211,0.00903106,0.01177675,0.00977487,0.01069575,0.01304384
1976-12-01,Durbl_excess,0.0927,0.00974725,0.01887508,0.01119866,0.01104529,0.01802788,0.01505639
1977-01-01,Durbl_excess,-0.0455,0.0098855,0.0216899,0.0139954,0.01109075,0.0189048,0.01395325
1977-02-01,Durbl_excess,-0.0383,0.00979334,0.0045304,0.01433596,0.00912011,0.00679636,0.01436188
1977-03-01,Durbl_excess,-0.0373,0.00971346,0.0,0.01361453,0.00945072,0.00353086,0.00923063
1977-04-01,Durbl_excess,0.0278,0.00963549,0.00551725,0.01263296,0.01045675,0.00861349,0.01169102
1977-05-01,Durbl_excess,-0.009,0.00966556,0.00360731,0.01356225,0.0103744,0.00704916,0.01023771
1977-06-01,Durbl_excess,0.0389,0.00963471,0.00697592,0.01080336,0.01032141,0.01005707,0.01556286
1977-07-01,Durbl_excess,-0.0285,0.009683,0.00807334,0.01019505,0.01004336,0.0102478,0.01210541
1977-08-01,Durbl_excess,-0.0129,0.0096201,0.00548572,0.00936625,0.00952898,0.00860353,0.01389602
1977-09-01,Durbl_excess,0.0112,0.00958306,0.01040639,0.0069173,0.01021276,0.01316983,0.01512071
1977-10-01,Durbl_excess,-0.0495,0.00958571,0.00823481,0.0061441,0.00945797,0.01116991,0.01428502
