date,asset,realized,historical_mean,ridge,ridge_restricted,ridge_alpha
1967-01-01,NoDur_excess,0.0896,0.00672062,0.00469557,0.00469557,3000.0
1967-01-01,Durbl_excess,0.1135,0.01174958,0.00434332,0.00434332,3000.0
1967-01-01,Manuf_excess,0.1076,0.00930333,0.00622803,0.00622803,3000.0
1967-01-01,Enrgy_excess,0.0315,0.00887125,0.00710967,0.00710967,1000.0
1967-01-01,HiTec_excess,0.0988,0.01129917,0.0107569,0.0107569,3000.0
1967-01-01,Telcm_excess,0.0581,0.00652083,0.00651975,0.00651975,1000000.0
1967-01-01,Shops_excess,0.1137,0.00801271,-0.00028362,0.0,1000.0
1967-01-01,Hlth_excess,0.0602,0.00960188,0.00959093,0.00959093,1000000.0
1967-01-01,Utils_excess,0.0241,0.00776417,0.00919258,0.00919258,1000.0
1967-01-01,Other_excess,0.1154,0.00732396,0.00469665,0.00469665,3000.0
1967-02-01,NoDur_excess,0.0167,0.00689293,0.00647977,0.00647977,3000.0
1967-02-01,Durbl_excess,-0.0145,0.01196112,0.00655517,0.00655517,3000.0
1967-02-01,Manuf_excess,0.0086,0.00950769,0.00585849,0.00585849,3000.0
1967-02-01,Enrgy_excess,-0.0046,0.0089183,0.00290846,0.00290846,1000.0
1967-02-01,HiTec_excess,0.0583,0.01148108,0.01204832,0.01204832,3000.0
1967-02-01,Telcm_excess,0.0177,0.00662807,0.00663138,0.00663138,1000000.0
1967-02-01,Shops_excess,0.0286,0.00823243,0.00929515,0.00929515,1000.0
1967-02-01,Hlth_excess,0.0104,0.00970707,0.00970187,0.00970187,1000000.0
1967-02-01,Utils_excess,-0.0209,0.00779813,0.01463135,0.01463135,1000.0
1967-02-01,Other_excess,-0.0068,0.00754865,0.00520548,0.00520548,3000.0
1967-03-01,NoDur_excess,0.0406,0.00691328,0.00575655,0.00575655,3000.0
1967-03-01,Durbl_excess,0.0345,0.01190622,0.00711633,0.00711633,3000.0
1967-03-01,Manuf_excess,0.054,0.00950581,0.00670161,0.00670161,3000.0
1967-03-01,Enrgy_excess,0.0323,0.00889025,0.00413361,0.00413361,1000.0
1967-03-01,HiTec_excess,0.0512,0.01157822,0.01159705,0.01159705,3000.0
1967-03-01,Telcm_excess,0.0257,0.00665104,0.00664977,0.00664977,1000000.0
1967-03-01,Shops_excess,0.0194,0.00827469,0.00600278,0.00600278,1000.0
1967-03-01,Hlth_excess,0.0747,0.00970851,0.00970345,0.00970345,1000000.0
1967-03-01,Utils_excess,0.0115,0.00773859,0.0085453,0.0085453,1000.0
1967-03-01,Other_excess,0.0402,0.00751888,0.0047738,0.0047738,3000.0
1967-04-01,NoDur_excess,0.0428,0.00698302,0.00557658,0.00557658,3000.0
1967-04-01,Durbl_excess,0.1074,0.011953,0.00595975,0.00595975,3000.0
1967-04-01,Manuf_excess,0.0343,0.00959793,0.00663518,0.00663518,3000.0
1967-04-01,Enrgy_excess,0.0135,0.00893872,0.00531481,0.00531481,1000.0
1967-04-01,HiTec_excess,0.0751,0.01166025,0.0109667,0.0109667,3000.0
1967-04-01,Telcm_excess,-0.001,0.00669048,0.00669079,0.00669079,1000000.0
1967-04-01,Shops_excess,0.0889,0.00829772,0.00383638,0.00383638,1000.0
1967-04-01,Hlth_excess,0.0413,0.00984306,0.0098349,0.0098349,1000000.0
1967-04-01,Utils_excess,0.0156,0.00774638,0.00757791,0.00757791,1000.0
1967-04-01,Other_excess,0.0179,0.00758654,0.00518152,0.00518152,3000.0
1967-05-01,NoDur_excess,-0.0305,0.00705702,0.00640738,0.00640738,3000.0
1967-05-01,Durbl_excess,-0.0768,0.01215021,0.00836241,0.00836241,3000.0
1967-05-01,Manuf_excess,-0.04,0.00964897,0.00633984,0.00633984,3000.0
1967-05-01,Enrgy_excess,-0.0279,0.00894814,0.002262,0.002262,1000.0
1967-05-01,HiTec_excess,-0.0467,0.01179132,0.01140559,0.01140559,3000.0
1967-05-01,Telcm_excess,-0.0599,0.00667459,0.00667479,0.00667479,1000000.0
1967-05-01,Shops_excess,-0.049,0.00846426,0.00955449,0.00955449,1000.0
1967-05-01,Hlth_excess,-0.0562,0.00990806,0.00990538,0.00990538,1000000.0
1967-05-01,Utils_excess,-0.0445,0.0077626,0.00853185,0.00853185,1000.0
1967-05-01,Other_excess,-0.0235,0.00760785,0.00482166,0.00482166,3000.0
1967-06-01,NoDur_excess,0.0248,0.00697959,0.00550994,0.00550994,3000.0
1967-06-01,Durbl_excess,0.0132,0.0119668,0.00771072,0.00771072,3000.0
1967-06-01,Manuf_excess,0.0183,0.0095466,0.00736294,0.00736294,3000.0
1967-06-01,Enrgy_excess,0.0201,0.00887216,0.00614699,0.00614699,1000.0
1967-06-01,HiTec_excess,0.0615,0.01167072,0.01037925,0.01037925,3000.0
1967-06-01,Telcm_excess,0.0246,0.00653732,0.00653452,0.00653452,1000000.0
1967-06-01,Shops_excess,0.0351,0.00834577,0.00335878,0.00335878,1000.0
