date,asset,realized,historical_mean,ridge,ridge_restricted,ridge_alpha
1947-01-01,NoDur_excess,0.0021,0.00666458,0.00364676,0.00364676,587.80160723
1947-01-01,Durbl_excess,0.1087,0.01171542,0.00573,0.00573,1193.77664171
1947-01-01,Manuf_excess,0.0087,0.0094175,0.0094175,0.0094175,1e+16
1947-01-01,Enrgy_excess,-0.0068,0.00680375,0.00669402,0.00669402,20309.17620905
1947-01-01,HiTec_excess,0.0535,0.00981917,0.00622465,0.00622465,1193.77664171
1947-01-01,Telcm_excess,0.01,0.00691958,0.00669996,0.00669996,2424.46201708
1947-01-01,Shops_excess,0.0066,0.00871292,0.00607823,0.00607823,1193.77664171
1947-01-01,Hlth_excess,-0.0535,0.00859042,0.00859042,0.00859042,3070290629757837.5
1947-01-01,Utils_excess,-0.0017,0.00738917,0.00424939,0.00424939,587.80160723
1947-01-01,Other_excess,0.0044,0.00624917,0.00510859,0.00510859,2424.46201708
1947-02-01,NoDur_excess,-0.003,0.00664564,0.00671786,0.00671786,587.80160723
1947-02-01,Durbl_excess,0.0145,0.01211784,0.0100104,0.0100104,1193.77664171
1947-02-01,Manuf_excess,-0.0072,0.00941452,0.00941452,0.00941452,1e+16
1947-02-01,Enrgy_excess,-0.0274,0.0067473,0.00666755,0.00666755,20309.17620905
1947-02-01,HiTec_excess,-0.0211,0.01000041,0.00897409,0.00897409,1193.77664171
1947-02-01,Telcm_excess,-0.0208,0.00693237,0.00701038,0.00701038,2424.46201708
1947-02-01,Shops_excess,-0.0044,0.00870415,0.00912972,0.00912972,1193.77664171
1947-02-01,Hlth_excess,-0.0423,0.00833278,0.00833278,0.00833278,3070290629757837.5
1947-02-01,Utils_excess,-0.0093,0.00735145,0.00797112,0.00797112,587.80160723
1947-02-01,Other_excess,-0.0131,0.00624149,0.00573508,0.00573508,2424.46201708
1947-03-01,NoDur_excess,-0.0226,0.00660579,0.00667602,0.00667602,587.80160723
1947-03-01,Durbl_excess,-0.0273,0.01212769,0.01013947,0.01013947,1193.77664171
1947-03-01,Manuf_excess,-0.0163,0.00934587,0.00934587,0.00934587,1e+16
1947-03-01,Enrgy_excess,0.0226,0.0066062,0.00656007,0.00656007,20309.17620905
1947-03-01,HiTec_excess,-0.0232,0.0098719,0.0090782,0.0090782,1193.77664171
1947-03-01,Telcm_excess,-0.0218,0.00681777,0.00684596,0.00684596,2424.46201708
1947-03-01,Shops_excess,-0.0223,0.00865,0.00879183,0.00879183,1193.77664171
1947-03-01,Hlth_excess,-0.0129,0.00812355,0.00812355,0.00812355,3070290629757837.5
1947-03-01,Utils_excess,-0.0282,0.00728264,0.00789753,0.00789753,587.80160723
1947-03-01,Other_excess,-0.0338,0.00616157,0.00592433,0.00592433,2424.46201708
1947-04-01,NoDur_excess,-0.0668,0.0064856,0.00635041,0.00635041,587.80160723
1947-04-01,Durbl_excess,-0.0411,0.01196543,0.00951377,0.00951377,1193.77664171
1947-04-01,Manuf_excess,-0.0577,0.00924033,0.00924033,0.00924033,1e+16
1947-04-01,Enrgy_excess,-0.0047,0.00667202,0.00673833,0.00673833,20309.17620905
1947-04-01,HiTec_excess,-0.0524,0.0097358,0.009164,0.009164,1193.77664171
1947-04-01,Telcm_excess,-0.0025,0.0067,0.00700897,0.00700897,2424.46201708
1947-04-01,Shops_excess,-0.0801,0.00852263,0.00888938,0.00888938,1193.77664171
1947-04-01,Hlth_excess,-0.0864,0.00803704,0.00803704,0.00803704,3070290629757837.5
1947-04-01,Utils_excess,-0.0379,0.00713663,0.00796691,0.00796691,587.80160723
1947-04-01,Other_excess,-0.063,0.00599712,0.0064123,0.0064123,2424.46201708
1947-05-01,NoDur_excess,-0.0058,0.00618525,0.00923001,0.00923001,587.80160723
1947-05-01,Durbl_excess,-0.0217,0.01174795,0.01330051,0.01330051,1193.77664171
1947-05-01,Manuf_excess,-0.0212,0.00896598,0.00896598,0.00896598,1e+16
1947-05-01,Enrgy_excess,0.0253,0.00662541,0.00674729,0.00674729,20309.17620905
1947-05-01,HiTec_excess,-0.003,0.00948115,0.01140242,0.01140242,1193.77664171
1947-05-01,Telcm_excess,-0.0113,0.0066623,0.00701852,0.00701852,2424.46201708
1947-05-01,Shops_excess,-0.0039,0.00815943,0.0108208,0.0108208,1193.77664171
1947-05-01,Hlth_excess,-0.0268,0.00765,0.00765,0.00765,3070290629757837.5
1947-05-01,Utils_excess,-0.0251,0.00695205,0.01117908,0.01117908,587.80160723
1947-05-01,Other_excess,-0.021,0.00571434,0.00680159,0.00680159,2424.46201708
1947-06-01,NoDur_excess,0.0651,0.00613633,0.00839151,0.00839151,587.80160723
1947-06-01,Durbl_excess,0.0585,0.01161143,0.01260622,0.01260622,1193.77664171
1947-06-01,Manuf_excess,0.0573,0.00884286,0.00884286,0.00884286,1e+16
1947-06-01,Enrgy_excess,0.0774,0.00670163,0.00687889,0.00687889,20309.17620905
1947-06-01,HiTec_excess,0.0384,0.0094302,0.01100233,0.01100233,1193.77664171
1947-06-01,Telcm_excess,-0.0322,0.00658898,0.00674237,0.00674237,2424.46201708
1947-06-01,Shops_excess,0.0987,0.0081102,0.00961974,0.00961974,1193.77664171
1947-06-01,Hlth_excess,0.0417,0.00750939,0.00750939,0.00750939,3070290629757837.5
1947-06-01,Utils_excess,0.0392,0.00682122,0.0096042,0.0096042,587.80160723
1947-06-01,Other_excess,0.0316,0.00560531,0.00686605,0.00686605,2424.46201708
1947-07-01,NoDur_excess,0.0462,0.00637602,0.00805808,0.00805808,587.80160723
1947-07-01,Durbl_excess,0.0517,0.01180203,0.01200058,0.01200058,1193.77664171
1947-07-01,Manuf_excess,0.0384,0.00903984,0.00903984,0.00903984,1e+16
1947-07-01,Enrgy_excess,0.0385,0.00698902,0.0071448,0.0071448,20309.17620905
1947-07-01,HiTec_excess,0.0631,0.00954797,0.01065492,0.01065492,1193.77664171
1947-07-01,Telcm_excess,0.0078,0.0064313,0.00656425,0.00656425,2424.46201708
1947-07-01,Shops_excess,0.0458,0.00847846,0.00984528,0.00984528,1193.77664171
1947-07-01,Hlth_excess,0.0258,0.00764837,0.00764837,0.00764837,3070290629757837.5
1947-07-01,Utils_excess,0.0248,0.00695285,0.00939943,0.00939943,587.80160723
1947-07-01,Other_excess,0.0595,0.00571098,0.0067209,0.0067209,2424.46201708
1947-08-01,NoDur_excess,-0.0141,0.00653725,0.00696745,0.00696745,587.80160723
1947-08-01,Durbl_excess,-0.0079,0.01196356,0.01037643,0.01037643,1193.77664171
1947-08-01,Manuf_excess,-0.0105,0.0091587,0.0091587,0.0091587,1e+16
1947-08-01,Enrgy_excess,-0.0233,0.0071166,0.00725122,0.00725122,20309.17620905
1947-08-01,HiTec_excess,-0.0425,0.00976478,0.01028208,0.01028208,1193.77664171
1947-08-01,Telcm_excess,0.0033,0.00643684,0.00656881,0.00656881,2424.46201708
1947-08-01,Shops_excess,-0.0358,0.00862955,0.00860549,0.00860549,1193.77664171
1947-08-01,Hlth_excess,-0.0386,0.00772186,0.00772186,0.00772186,3070290629757837.5
1947-08-01,Utils_excess,0.0021,0.0070251,0.00877727,0.00877727,587.80160723
1947-08-01,Other_excess,-0.0321,0.00592874,0.00668175,0.00668175,2424.46201708
1947-09-01,NoDur_excess,0.0033,0.00645403,0.00542545,0.00542545,587.80160723
1947-09-01,Durbl_excess,0.0011,0.01188347,0.00906777,0.00906777,1193.77664171
1947-09-01,Manuf_excess,0.0065,0.00907944,0.00907944,0.00907944,1e+16
1947-09-01,Enrgy_excess,-0.0277,0.00699395,0.00715927,0.00715927,20309.17620905
1947-09-01,HiTec_excess,0.0108,0.00955403,0.00940696,0.00940696,1193.77664171
1947-09-01,Telcm_excess,0.0077,0.00642419,0.00624433,0.00624433,2424.46201708
1947-09-01,Shops_excess,-0.0287,0.0084504,0.00657196,0.00657196,1193.77664171
1947-09-01,Hlth_excess,-0.0269,0.00753508,0.00753508,0.00753508,3070290629757837.5
1947-09-01,Utils_excess,-0.0139,0.00700524,0.00679913,0.00679913,587.80160723
1947-09-01,Other_excess,-0.0102,0.0057754,0.00654365,0.00654365,2424.46201708
1947-10-01,NoDur_excess,0.013,0.00644137,0.00654766,0.00654766,587.80160723
1947-10-01,Durbl_excess,0.0287,0.01184016,0.01041972,0.01041972,1193.77664171
1947-10-01,Manuf_excess,0.0318,0.00906908,0.00906908,0.00906908,1e+16
1947-10-01,Enrgy_excess,0.0518,0.00685462,0.00706602,0.00706602,20309.17620905
1947-10-01,HiTec_excess,0.0168,0.00955904,0.0106497,0.0106497,1193.77664171
1947-10-01,Telcm_excess,0.0015,0.00642932,0.00654279,0.00654279,2424.46201708
1947-10-01,Shops_excess,0.0297,0.0083012,0.00792851,0.00792851,1193.77664171
1947-10-01,Hlth_excess,0.0115,0.00739679,0.00739679,0.00739679,3070290629757837.5
1947-10-01,Utils_excess,0.0009,0.00692129,0.00840951,0.00840951,587.80160723
1947-10-01,Other_excess,0.0094,0.00571124,0.00694209,0.00694209,2424.46201708
1947-11-01,NoDur_excess,-0.0176,0.0064676,0.00931661,0.00931661,587.80160723
1947-11-01,Durbl_excess,-0.0276,0.0119076,0.01309425,0.01309425,1193.77664171
1947-11-01,Manuf_excess,-0.0128,0.00916,0.00916,0.00916,1e+16
1947-11-01,Enrgy_excess,-0.0041,0.0070344,0.0072099,0.0072099,20309.17620905
1947-11-01,HiTec_excess,-0.0061,0.009588,0.01229139,0.01229139,1193.77664171
1947-11-01,Telcm_excess,-0.0263,0.0064096,0.00655601,0.00655601,2424.46201708
1947-11-01,Shops_excess,-0.0249,0.0083868,0.01003737,0.01003737,1193.77664171
1947-11-01,Hlth_excess,-0.0312,0.0074132,0.0074132,0.0074132,3070290629757837.5
1947-11-01,Utils_excess,-0.0769,0.0068972,0.01135747,0.01135747,587.80160723
1947-11-01,Other_excess,-0.0204,0.005726,0.00701954,0.00701954,2424.46201708
1947-12-01,NoDur_excess,0.0062,0.00637171,0.01149217,0.01149217,587.80160723
1947-12-01,Durbl_excess,0.0217,0.0117502,0.01526479,0.01526479,1193.77664171
1947-12-01,Manuf_excess,0.0256,0.00907251,0.00907251,0.00907251,1e+16
1947-12-01,Enrgy_excess,0.0926,0.00699004,0.00720428,0.00720428,20309.17620905
1947-12-01,HiTec_excess,0.0241,0.0095255,0.01422383,0.01422383,1193.77664171
1947-12-01,Telcm_excess,0.0036,0.00627928,0.00685085,0.00685085,2424.46201708
1947-12-01,Shops_excess,0.0029,0.00825418,0.01279065,0.01279065,1193.77664171
1947-12-01,Hlth_excess,0.0304,0.00725936,0.00725936,0.00725936,3070290629757837.5
1947-12-01,Utils_excess,0.011,0.00656335,0.01418466,0.01418466,587.80160723
1947-12-01,Other_excess,0.0363,0.00562191,0.00743624,0.00743624,2424.46201708
1948-01-01,NoDur_excess,-0.0276,0.00637103,0.01177117,0.01177117,587.80160723
1948-01-01,Durbl_excess,-0.0542,0.01178968,0.01357582,0.01357582,2424.46201708
1948-01-01,Manuf_excess,-0.0415,0.0091381,0.0091381,0.0091381,1e+16
1948-01-01,Enrgy_excess,-0.075,0.00732976,0.00732976,0.00732976,1e+16
1948-01-01,HiTec_excess,-0.056,0.00958333,0.01450306,0.01450306,1193.77664171
1948-01-01,Telcm_excess,0.0003,0.00626865,0.00727884,0.00727884,2424.46201708
1948-01-01,Shops_excess,-0.0336,0.00823294,0.01131871,0.01131871,2424.46201708
1948-01-01,Hlth_excess,-0.0832,0.00735119,0.0091027,0.0091027,2424.46201708
1948-01-01,Utils_excess,-0.0029,0.00658095,0.01574985,0.01574985,587.80160723
1948-01-01,Other_excess,-0.0095,0.00574365,0.00756544,0.00756544,2424.46201708
1948-02-01,NoDur_excess,-0.062,0.00623676,0.00782468,0.00782468,587.80160723
1948-02-01,Durbl_excess,-0.055,0.01152885,0.01138435,0.01138435,2424.46201708
