date,asset_i,asset_j,inverse_covariance
1967-01-01,NoDur_excess,NoDur_excess,3614.7255241533
1967-01-01,NoDur_excess,Durbl_excess,-14.6940272342
1967-01-01,NoDur_excess,Manuf_excess,-334.9001755833
1967-01-01,NoDur_excess,Enrgy_excess,-16.8838534681
1967-01-01,NoDur_excess,HiTec_excess,-128.8832450623
1967-01-01,NoDur_excess,Telcm_excess,-171.8137088802
1967-01-01,NoDur_excess,Shops_excess,-986.6359560355
1967-01-01,NoDur_excess,Hlth_excess,-548.4299199432
1967-01-01,NoDur_excess,Utils_excess,-68.0557955766
1967-01-01,NoDur_excess,Other_excess,-420.6675596752
1967-01-01,Durbl_excess,NoDur_excess,-14.6940272342
1967-01-01,Durbl_excess,Durbl_excess,657.0324706515
1967-01-01,Durbl_excess,Manuf_excess,-578.8316643819
1967-01-01,Durbl_excess,Enrgy_excess,-1.8756542133
1967-01-01,Durbl_excess,HiTec_excess,-38.7084318475
1967-01-01,Durbl_excess,Telcm_excess,19.7678237719
1967-01-01,Durbl_excess,Shops_excess,-236.6861732037
1967-01-01,Durbl_excess,Hlth_excess,67.2708617029
1967-01-01,Durbl_excess,Utils_excess,-9.8460099182
1967-01-01,Durbl_excess,Other_excess,56.3596025088
1967-01-01,Manuf_excess,NoDur_excess,-334.9001755833
1967-01-01,Manuf_excess,Durbl_excess,-578.8316643819
1967-01-01,Manuf_excess,Manuf_excess,3004.2522648211
1967-01-01,Manuf_excess,Enrgy_excess,-415.8024888471
1967-01-01,Manuf_excess,HiTec_excess,-1009.2945671203
1967-01-01,Manuf_excess,Telcm_excess,-134.3850012955
1967-01-01,Manuf_excess,Shops_excess,-90.4910593925
1967-01-01,Manuf_excess,Hlth_excess,-37.488787662
1967-01-01,Manuf_excess,Utils_excess,312.4714370449
1967-01-01,Manuf_excess,Other_excess,-853.6398494394
1967-01-01,Enrgy_excess,NoDur_excess,-16.8838534681
1967-01-01,Enrgy_excess,Durbl_excess,-1.8756542133
1967-01-01,Enrgy_excess,Manuf_excess,-415.8024888471
1967-01-01,Enrgy_excess,Enrgy_excess,678.1318049158
1967-01-01,Enrgy_excess,HiTec_excess,81.2993607673
1967-01-01,Enrgy_excess,Telcm_excess,28.8549648104
1967-01-01,Enrgy_excess,Shops_excess,-13.9562425608
1967-01-01,Enrgy_excess,Hlth_excess,-46.2773088025
1967-01-01,Enrgy_excess,Utils_excess,-47.8029131299
1967-01-01,Enrgy_excess,Other_excess,-88.8415173619
1967-01-01,HiTec_excess,NoDur_excess,-128.8832450623
1967-01-01,HiTec_excess,Durbl_excess,-38.7084318475
1967-01-01,HiTec_excess,Manuf_excess,-1009.2945671203
1967-01-01,HiTec_excess,Enrgy_excess,81.2993607673
1967-01-01,HiTec_excess,HiTec_excess,1454.911669806
1967-01-01,HiTec_excess,Telcm_excess,-57.6790491397
1967-01-01,HiTec_excess,Shops_excess,-88.4919267672
1967-01-01,HiTec_excess,Hlth_excess,-183.4756999237
1967-01-01,HiTec_excess,Utils_excess,-302.1382564795
1967-01-01,HiTec_excess,Other_excess,64.6643890835
1967-01-01,Telcm_excess,NoDur_excess,-171.8137088802
1967-01-01,Telcm_excess,Durbl_excess,19.7678237719
1967-01-01,Telcm_excess,Manuf_excess,-134.3850012955
1967-01-01,Telcm_excess,Enrgy_excess,28.8549648104
1967-01-01,Telcm_excess,HiTec_excess,-57.6790491397
1967-01-01,Telcm_excess,Telcm_excess,1523.2309310138
1967-01-01,Telcm_excess,Shops_excess,-61.0321148062
1967-01-01,Telcm_excess,Hlth_excess,-40.3734310356
1967-01-01,Telcm_excess,Utils_excess,-384.387036776
1967-01-01,Telcm_excess,Other_excess,-94.4822764121
1967-01-01,Shops_excess,NoDur_excess,-986.6359560355
1967-01-01,Shops_excess,Durbl_excess,-236.6861732037
1967-01-01,Shops_excess,Manuf_excess,-90.4910593925
1967-01-01,Shops_excess,Enrgy_excess,-13.9562425608
1967-01-01,Shops_excess,HiTec_excess,-88.4919267672
1967-01-01,Shops_excess,Telcm_excess,-61.0321148062
1967-01-01,Shops_excess,Shops_excess,1545.7365233818
1967-01-01,Shops_excess,Hlth_excess,-132.6078389461
1967-01-01,Shops_excess,Utils_excess,-136.0048059569
1967-01-01,Shops_excess,Other_excess,81.9469958567
1967-01-01,Hlth_excess,NoDur_excess,-548.4299199432
1967-01-01,Hlth_excess,Durbl_excess,67.2708617029
1967-01-01,Hlth_excess,Manuf_excess,-37.488787662
1967-01-01,Hlth_excess,Enrgy_excess,-46.2773088025
1967-01-01,Hlth_excess,HiTec_excess,-183.4756999237
1967-01-01,Hlth_excess,Telcm_excess,-40.3734310356
1967-01-01,Hlth_excess,Shops_excess,-132.6078389461
1967-01-01,Hlth_excess,Hlth_excess,915.1373615627
1967-01-01,Hlth_excess,Utils_excess,-21.9732826016
1967-01-01,Hlth_excess,Other_excess,22.2751978655
1967-01-01,Utils_excess,NoDur_excess,-68.0557955766
1967-01-01,Utils_excess,Durbl_excess,-9.8460099182
1967-01-01,Utils_excess,Manuf_excess,312.4714370449
1967-01-01,Utils_excess,Enrgy_excess,-47.8029131299
1967-01-01,Utils_excess,HiTec_excess,-302.1382564795
1967-01-01,Utils_excess,Telcm_excess,-384.387036776
1967-01-01,Utils_excess,Shops_excess,-136.0048059569
1967-01-01,Utils_excess,Hlth_excess,-21.9732826016
1967-01-01,Utils_excess,Utils_excess,851.909160641
1967-01-01,Utils_excess,Other_excess,-270.3368993178
1967-01-01,Other_excess,NoDur_excess,-420.6675596752
1967-01-01,Other_excess,Durbl_excess,56.3596025088
1967-01-01,Other_excess,Manuf_excess,-853.6398494394
1967-01-01,Other_excess,Enrgy_excess,-88.8415173619
1967-01-01,Other_excess,HiTec_excess,64.6643890835
1967-01-01,Other_excess,Telcm_excess,-94.4822764121
1967-01-01,Other_excess,Shops_excess,81.9469958567
1967-01-01,Other_excess,Hlth_excess,22.2751978655
1967-01-01,Other_excess,Utils_excess,-270.3368993177
1967-01-01,Other_excess,Other_excess,1301.4325344859
1967-02-01,NoDur_excess,NoDur_excess,3608.679055443
1967-02-01,NoDur_excess,Durbl_excess,-13.8133478269
1967-02-01,NoDur_excess,Manuf_excess,-335.1044528262
1967-02-01,NoDur_excess,Enrgy_excess,-12.8106972029
1967-02-01,NoDur_excess,HiTec_excess,-127.0323088895
1967-02-01,NoDur_excess,Telcm_excess,-177.4431344807
1967-02-01,NoDur_excess,Shops_excess,-989.1371098727
1967-02-01,NoDur_excess,Hlth_excess,-548.847641667
1967-02-01,NoDur_excess,Utils_excess,-59.2013938714
1967-02-01,NoDur_excess,Other_excess,-426.932433316
1967-02-01,Durbl_excess,NoDur_excess,-13.8133478269
1967-02-01,Durbl_excess,Durbl_excess,656.9045087585
1967-02-01,Durbl_excess,Manuf_excess,-578.7982537546
1967-02-01,Durbl_excess,Enrgy_excess,-2.4552616877
1967-02-01,Durbl_excess,HiTec_excess,-38.9595048347
1967-02-01,Durbl_excess,Telcm_excess,20.5440088358
1967-02-01,Durbl_excess,Shops_excess,-236.3102704476
1967-02-01,Durbl_excess,Hlth_excess,67.2949538636
1967-02-01,Durbl_excess,Utils_excess,-11.0862143144
1967-02-01,Durbl_excess,Other_excess,57.22957878
1967-02-01,Manuf_excess,NoDur_excess,-335.1044528262
1967-02-01,Manuf_excess,Durbl_excess,-578.7982537546
1967-02-01,Manuf_excess,Manuf_excess,3004.2884133385
1967-02-01,Manuf_excess,Enrgy_excess,-415.5041415633
1967-02-01,Manuf_excess,HiTec_excess,-1009.0140420845
1967-02-01,Manuf_excess,Telcm_excess,-135.0901876443
1967-02-01,Manuf_excess,Shops_excess,-90.4389559442
1967-02-01,Manuf_excess,Hlth_excess,-37.9354843451
1967-02-01,Manuf_excess,Utils_excess,313.3527250176
1967-02-01,Manuf_excess,Other_excess,-854.3519430853
1967-02-01,Enrgy_excess,NoDur_excess,-12.8106972029
1967-02-01,Enrgy_excess,Durbl_excess,-2.4552616877
1967-02-01,Enrgy_excess,Manuf_excess,-415.5041415633
1967-02-01,Enrgy_excess,Enrgy_excess,675.9881082086
1967-02-01,Enrgy_excess,HiTec_excess,80.8664188472
1967-02-01,Enrgy_excess,Telcm_excess,30.7243087716
1967-02-01,Enrgy_excess,Shops_excess,-11.7613159209
1967-02-01,Enrgy_excess,Hlth_excess,-47.6110731998
1967-02-01,Enrgy_excess,Utils_excess,-51.5940261969
1967-02-01,Enrgy_excess,Other_excess,-86.4897416146
1967-02-01,HiTec_excess,NoDur_excess,-127.0323088895
1967-02-01,HiTec_excess,Durbl_excess,-38.9595048347
1967-02-01,HiTec_excess,Manuf_excess,-1009.0140420845
1967-02-01,HiTec_excess,Enrgy_excess,80.8664188472
1967-02-01,HiTec_excess,HiTec_excess,1455.4489101411
1967-02-01,HiTec_excess,Telcm_excess,-58.5635770949
1967-02-01,HiTec_excess,Shops_excess,-87.0345563536
1967-02-01,HiTec_excess,Hlth_excess,-185.5383042762
1967-02-01,HiTec_excess,Utils_excess,-301.9009399211
1967-02-01,HiTec_excess,Other_excess,64.0481162608
1967-02-01,Telcm_excess,NoDur_excess,-177.4431344807
1967-02-01,Telcm_excess,Durbl_excess,20.5440088358
1967-02-01,Telcm_excess,Manuf_excess,-135.0901876443
1967-02-01,Telcm_excess,Enrgy_excess,30.7243087716
1967-02-01,Telcm_excess,HiTec_excess,-58.5635770949
1967-02-01,Telcm_excess,Telcm_excess,1524.1506222907
1967-02-01,Telcm_excess,Shops_excess,-64.9949237669
1967-02-01,Telcm_excess,Hlth_excess,-35.5874137736
1967-02-01,Telcm_excess,Utils_excess,-383.1074588666
1967-02-01,Telcm_excess,Other_excess,-94.3283954505
1967-02-01,Shops_excess,NoDur_excess,-989.1371098727
1967-02-01,Shops_excess,Durbl_excess,-236.3102704476
1967-02-01,Shops_excess,Manuf_excess,-90.4389559442
1967-02-01,Shops_excess,Enrgy_excess,-11.7613159209
1967-02-01,Shops_excess,HiTec_excess,-87.0345563536
1967-02-01,Shops_excess,Telcm_excess,-64.9949237669
1967-02-01,Shops_excess,Shops_excess,1545.1353719672
1967-02-01,Shops_excess,Hlth_excess,-134.1532853009
1967-02-01,Shops_excess,Utils_excess,-130.494900372
1967-02-01,Shops_excess,Other_excess,77.7675347533
1967-02-01,Hlth_excess,NoDur_excess,-548.8476416671
1967-02-01,Hlth_excess,Durbl_excess,67.2949538636
1967-02-01,Hlth_excess,Manuf_excess,-37.9354843451
1967-02-01,Hlth_excess,Enrgy_excess,-47.6110731998
1967-02-01,Hlth_excess,HiTec_excess,-185.5383042762
1967-02-01,Hlth_excess,Telcm_excess,-35.5874137736
1967-02-01,Hlth_excess,Shops_excess,-134.1532853009
1967-02-01,Hlth_excess,Hlth_excess,919.4552936686
1967-02-01,Hlth_excess,Utils_excess,-27.2112258935
1967-02-01,Hlth_excess,Other_excess,26.8709995801
1967-02-01,Utils_excess,NoDur_excess,-59.2013938714
1967-02-01,Utils_excess,Durbl_excess,-11.0862143144
1967-02-01,Utils_excess,Manuf_excess,313.3527250176
1967-02-01,Utils_excess,Enrgy_excess,-51.5940261969
1967-02-01,Utils_excess,HiTec_excess,-301.9009399211
1967-02-01,Utils_excess,Telcm_excess,-383.1074588666
1967-02-01,Utils_excess,Shops_excess,-130.494900372
1967-02-01,Utils_excess,Hlth_excess,-27.2112258935
1967-02-01,Utils_excess,Utils_excess,846.8149565592
1967-02-01,Utils_excess,Other_excess,-267.9298736033
1967-02-01,Other_excess,NoDur_excess,-426.932433316
1967-02-01,Other_excess,Durbl_excess,57.22957878
1967-02-01,Other_excess,Manuf_excess,-854.3519430853
1967-02-01,Other_excess,Enrgy_excess,-86.4897416146
1967-02-01,Other_excess,HiTec_excess,64.0481162608
1967-02-01,Other_excess,Telcm_excess,-94.3283954505
1967-02-01,Other_excess,Shops_excess,77.7675347533
1967-02-01,Other_excess,Hlth_excess,26.8709995801
1967-02-01,Other_excess,Utils_excess,-267.9298736033
1967-02-01,Other_excess,Other_excess,1300.7587483706
1967-03-01,NoDur_excess,NoDur_excess,3608.5980356341
1967-03-01,NoDur_excess,Durbl_excess,-12.5193770967
1967-03-01,NoDur_excess,Manuf_excess,-333.3483977736
1967-03-01,NoDur_excess,Enrgy_excess,-13.3271499963
1967-03-01,NoDur_excess,HiTec_excess,-129.9741244988
1967-03-01,NoDur_excess,Telcm_excess,-177.6682605672
1967-03-01,NoDur_excess,Shops_excess,-990.3595482958
1967-03-01,NoDur_excess,Hlth_excess,-548.7596037759
1967-03-01,NoDur_excess,Utils_excess,-57.6885136696
1967-03-01,NoDur_excess,Other_excess,-426.6058855986
1967-03-01,Durbl_excess,NoDur_excess,-12.5193770967
1967-03-01,Durbl_excess,Durbl_excess,656.421743503
1967-03-01,Durbl_excess,Manuf_excess,-579.4636852509
1967-03-01,Durbl_excess,Enrgy_excess,-3.3186863907
1967-03-01,Durbl_excess,HiTec_excess,-36.1739748465
1967-03-01,Durbl_excess,Telcm_excess,22.2899838924
1967-03-01,Durbl_excess,Shops_excess,-235.5449119641
1967-03-01,Durbl_excess,Hlth_excess,65.8648919114
1967-03-01,Durbl_excess,Utils_excess,-12.8723452423
1967-03-01,Durbl_excess,Other_excess,56.6480680038
1967-03-01,Manuf_excess,NoDur_excess,-333.3483977736
1967-03-01,Manuf_excess,Durbl_excess,-579.4636852509
1967-03-01,Manuf_excess,Manuf_excess,3003.3714229022
1967-03-01,Manuf_excess,Enrgy_excess,-416.6712646701
1967-03-01,Manuf_excess,HiTec_excess,-1005.211298076
1967-03-01,Manuf_excess,Telcm_excess,-132.719774021
1967-03-01,Manuf_excess,Shops_excess,-89.3907405395
1967-03-01,Manuf_excess,Hlth_excess,-39.8762173584
1967-03-01,Manuf_excess,Utils_excess,310.9173729539
1967-03-01,Manuf_excess,Other_excess,-855.1434720638
1967-03-01,Enrgy_excess,NoDur_excess,-13.3271499963
1967-03-01,Enrgy_excess,Durbl_excess,-3.3186863907
1967-03-01,Enrgy_excess,Manuf_excess,-416.6712646701
1967-03-01,Enrgy_excess,Enrgy_excess,676.8094981657
1967-03-01,Enrgy_excess,HiTec_excess,82.0673644085
1967-03-01,Enrgy_excess,Telcm_excess,30.1242286763
1967-03-01,Enrgy_excess,Shops_excess,-11.0852468212
1967-03-01,Enrgy_excess,Hlth_excess,-47.0390472535
1967-03-01,Enrgy_excess,Utils_excess,-52.0519908373
1967-03-01,Enrgy_excess,Other_excess,-86.5001147243
1967-03-01,HiTec_excess,NoDur_excess,-129.9741244988
1967-03-01,HiTec_excess,Durbl_excess,-36.1739748465
1967-03-01,HiTec_excess,Manuf_excess,-1005.211298076
1967-03-01,HiTec_excess,Enrgy_excess,82.0673644085
1967-03-01,HiTec_excess,HiTec_excess,1445.4196623619
1967-03-01,HiTec_excess,Telcm_excess,-62.6876948257
1967-03-01,HiTec_excess,Shops_excess,-90.3433770752
1967-03-01,HiTec_excess,Hlth_excess,-182.2890956995
1967-03-01,HiTec_excess,Utils_excess,-295.9688425516
1967-03-01,HiTec_excess,Other_excess,65.7577034925
1967-03-01,Telcm_excess,NoDur_excess,-177.6682605672
1967-03-01,Telcm_excess,Durbl_excess,22.2899838924
1967-03-01,Telcm_excess,Manuf_excess,-132.719774021
1967-03-01,Telcm_excess,Enrgy_excess,30.1242286763
1967-03-01,Telcm_excess,HiTec_excess,-62.6876948257
1967-03-01,Telcm_excess,Telcm_excess,1523.6945580894
1967-03-01,Telcm_excess,Shops_excess,-66.6727205396
1967-03-01,Telcm_excess,Hlth_excess,-35.3405871159
1967-03-01,Telcm_excess,Utils_excess,-380.9541543469
1967-03-01,Telcm_excess,Other_excess,-93.8456561239
1967-03-01,Shops_excess,NoDur_excess,-990.3595482958
1967-03-01,Shops_excess,Durbl_excess,-235.5449119641
1967-03-01,Shops_excess,Manuf_excess,-89.3907405395
1967-03-01,Shops_excess,Enrgy_excess,-11.0852468212
1967-03-01,Shops_excess,HiTec_excess,-90.3433770752
