asset,MSPE_HistoricalMean,MSPE_OLS4,MSPE_OLS4_Restricted,RMSPE_HistoricalMean,RMSPE_OLS4,RMSPE_OLS4_Restricted,R2OS_OLS4,R2OS_OLS4_Restricted
NoDur_excess,0.001849,0.001858,0.001851,0.043,0.043101,0.043022,-0.004742,-0.001041
Durbl_excess,0.005603,0.005568,0.005548,0.07485,0.074616,0.074483,0.006234,0.009786
Manuf_excess,0.002581,0.002595,0.00258,0.050805,0.050946,0.050795,-0.005544,0.000391
Enrgy_excess,0.003842,0.003894,0.003874,0.061985,0.062406,0.062245,-0.013629,-0.008425
HiTec_excess,0.004191,0.004225,0.0042,0.06474,0.064997,0.064807,-0.007933,-0.002077
Telcm_excess,0.002294,0.002319,0.0023,0.047897,0.048161,0.047957,-0.011041,-0.002494
Shops_excess,0.002766,0.002784,0.002771,0.052589,0.052766,0.052637,-0.006736,-0.001818
Hlth_excess,0.00236,0.002388,0.002379,0.04858,0.048868,0.048773,-0.011878,-0.007948
Utils_excess,0.001709,0.001755,0.001718,0.041337,0.041891,0.041448,-0.02698,-0.005378
Other_excess,0.002911,0.002941,0.002923,0.053949,0.054234,0.054067,-0.010584,-0.00436
