asset,MSPE_HistoricalMean,MSPE_OLS,MSPE_OLS_Restricted,RMSPE_HistoricalMean,RMSPE_OLS,RMSPE_OLS_Restricted,R2OS_OLS,R2OS_OLS_Restricted
NoDur_excess,0.001849,0.00191,0.001874,0.043,0.043704,0.043294,-0.033053,-0.013736
Durbl_excess,0.005603,0.005787,0.005641,0.07485,0.076071,0.075107,-0.032876,-0.006864
Manuf_excess,0.002581,0.002789,0.002629,0.050805,0.052807,0.05127,-0.080341,-0.018383
Enrgy_excess,0.003842,0.004034,0.003895,0.061985,0.06351,0.062414,-0.049834,-0.013899
HiTec_excess,0.004191,0.004434,0.004272,0.06474,0.06659,0.065358,-0.057956,-0.019173
Telcm_excess,0.002294,0.002382,0.002307,0.047897,0.048804,0.048035,-0.038234,-0.005765
Shops_excess,0.002766,0.002846,0.002786,0.052589,0.053347,0.052783,-0.029026,-0.007414
Hlth_excess,0.00236,0.002451,0.002404,0.04858,0.049509,0.049029,-0.038599,-0.018585
Utils_excess,0.001709,0.001866,0.001756,0.041337,0.043199,0.041901,-0.092138,-0.027497
Other_excess,0.002911,0.003147,0.002978,0.053949,0.056102,0.054572,-0.081378,-0.023231
