asset,MSPE_HistoricalMean,MSPE_RandomForest,RMSPE_HistoricalMean,RMSPE_RandomForest,R2OS_RandomForest
Durbl_excess,0.005603,0.005638,0.07485,0.07509,-0.006419
Enrgy_excess,0.003842,0.00389,0.061985,0.062371,-0.012497
HiTec_excess,0.004191,0.004229,0.06474,0.065031,-0.009018
Hlth_excess,0.00236,0.002401,0.04858,0.049001,-0.017401
Manuf_excess,0.002581,0.002624,0.050805,0.051228,-0.016695
NoDur_excess,0.001849,0.001843,0.043,0.042925,0.003444
Other_excess,0.002911,0.002898,0.053949,0.053832,0.004362
Shops_excess,0.002766,0.002772,0.052589,0.052649,-0.002279
Telcm_excess,0.002294,0.002306,0.047897,0.048025,-0.00534
Utils_excess,0.001709,0.00172,0.041337,0.041468,-0.006357
