asset,MSPE_HistoricalMean,MSPE_RandomForest,RMSPE_HistoricalMean,RMSPE_RandomForest,R2OS_RandomForest
Durbl_excess,0.005603,0.005599,0.07485,0.074828,0.00059
Enrgy_excess,0.003842,0.003889,0.061985,0.062364,-0.012269
HiTec_excess,0.004191,0.004222,0.06474,0.06498,-0.007425
Hlth_excess,0.00236,0.002372,0.04858,0.048698,-0.004879
Manuf_excess,0.002581,0.002605,0.050805,0.051038,-0.009187
NoDur_excess,0.001849,0.001839,0.043,0.042881,0.0055
Other_excess,0.002911,0.002897,0.053949,0.053826,0.004574
Shops_excess,0.002766,0.002776,0.052589,0.052684,-0.003612
Telcm_excess,0.002294,0.002304,0.047897,0.048,-0.004279
Utils_excess,0.001709,0.001722,0.041337,0.041493,-0.007593
