asset,MSPE_HistoricalMean,MSPE_Ridge,MSPE_RidgeRestricted,R2OS_Ridge,R2OS_RidgeRestricted
NoDur_excess,0.001625,0.001624,0.001621,0.000529,0.002259
Durbl_excess,0.004767,0.004758,0.004756,0.001907,0.002332
Manuf_excess,0.002355,0.002346,0.002346,0.003815,0.003815
Enrgy_excess,0.003364,0.003378,0.003375,-0.00419,-0.003336
HiTec_excess,0.003709,0.003708,0.003708,0.000248,0.000248
Telcm_excess,0.001914,0.001919,0.001918,-0.002197,-0.00169
Shops_excess,0.002355,0.002347,0.002346,0.003632,0.003934
Hlth_excess,0.002311,0.002313,0.002313,-0.000782,-0.000782
Utils_excess,0.0015,0.001505,0.001505,-0.002942,-0.002941
Other_excess,0.002574,0.002571,0.002568,0.001208,0.002224
