asset,MSPE_HistoricalMean,MSPE_Ridge,MSPE_RidgeRestricted,R2OS_Ridge,R2OS_RidgeRestricted
NoDur_excess,0.001849,0.001841,0.001837,0.004504,0.006583
Durbl_excess,0.005603,0.005575,0.005569,0.004975,0.005905
Manuf_excess,0.002581,0.002569,0.002569,0.004696,0.004696
Enrgy_excess,0.003842,0.003864,0.003861,-0.00566,-0.004975
HiTec_excess,0.004191,0.004194,0.004194,-0.000541,-0.000541
Telcm_excess,0.002294,0.002296,0.002295,-0.000941,-0.000455
Shops_excess,0.002766,0.002755,0.002752,0.003719,0.005077
Hlth_excess,0.00236,0.00236,0.00236,6.8e-05,6.8e-05
Utils_excess,0.001709,0.001708,0.001708,0.000651,0.000651
Other_excess,0.002911,0.002901,0.002897,0.003229,0.004484
