date,asset,realized,historical_mean,ols4_restricted,ridge_restricted
1947-01-01,Durbl_excess,0.1087,0.01171542,0.00039278,0.00499415
1947-01-01,Enrgy_excess,-0.0068,0.00680375,0.00620595,0.00672832
1947-01-01,HiTec_excess,0.0535,0.00981917,0.00427765,0.00576596
1947-01-01,Hlth_excess,-0.0535,0.00859042,0.00917127,0.00858726
1947-01-01,Manuf_excess,0.0087,0.0094175,0.0026993,0.00941175
1947-01-01,NoDur_excess,0.0021,0.00666458,0.00534753,0.00438852
1947-01-01,Other_excess,0.0044,0.00624917,0.00258602,0.00528529
1947-01-01,Shops_excess,0.0066,0.00871292,0.00843208,0.00573817
1947-01-01,Telcm_excess,0.01,0.00691958,0.005318,0.00674048
1947-01-01,Utils_excess,-0.0017,0.00738917,0.00746026,0.00514567
1947-02-01,Durbl_excess,0.0145,0.01221708,0.00102158,0.00991223
1947-02-01,Enrgy_excess,-0.0274,0.0067325,0.00492742,0.00667686
1947-02-01,HiTec_excess,-0.0211,0.01009958,0.00398759,0.00897696
1947-02-01,Hlth_excess,-0.0423,0.00816667,0.00759712,0.00816629
1947-02-01,Manuf_excess,-0.0072,0.00946708,0.00173421,0.00946368
1947-02-01,NoDur_excess,-0.003,0.00671083,0.0047522,0.00650723
1947-02-01,Other_excess,-0.0131,0.00621542,0.00147786,0.00576971
1947-02-01,Shops_excess,-0.0044,0.00885667,0.00790108,0.00935172
1947-02-01,Telcm_excess,-0.0208,0.00689333,0.0053655,0.00696441
1947-02-01,Utils_excess,-0.0093,0.00746708,0.0066743,0.00776961
1947-03-01,Durbl_excess,-0.0273,0.011915,0.00118694,0.00973892
1947-03-01,Enrgy_excess,0.0226,0.00656792,0.00454839,0.0065346
1947-03-01,HiTec_excess,-0.0232,0.00983708,0.00367363,0.00900163
1947-03-01,Hlth_excess,-0.0129,0.00793,0.00703804,0.0079294
1947-03-01,Manuf_excess,-0.0163,0.00920583,0.0012782,0.00920305
1947-03-01,NoDur_excess,-0.0226,0.00656917,0.00478708,0.00639243
1947-03-01,Other_excess,-0.0338,0.00596042,0.00093391,0.00574024
1947-03-01,Shops_excess,-0.0223,0.00869833,0.00773878,0.0088693
1947-03-01,Telcm_excess,-0.0218,0.00665208,0.00443553,0.00668402
1947-03-01,Utils_excess,-0.0282,0.00725,0.00622313,0.00757102
1947-04-01,Durbl_excess,-0.0411,0.01174625,0.00197553,0.00918781
1947-04-01,Enrgy_excess,-0.0047,0.00692625,0.00613945,0.00696373
1947-04-01,HiTec_excess,-0.0524,0.00969167,0.00445556,0.00918595
1947-04-01,Hlth_excess,-0.0864,0.00784667,0.00739614,0.00784625
1947-04-01,Manuf_excess,-0.0577,0.00909,0.00225101,0.00908776
1947-04-01,NoDur_excess,-0.0668,0.00637208,0.00498049,0.0062133
1947-04-01,Other_excess,-0.063,0.00578333,0.00165882,0.00614361
1947-04-01,Shops_excess,-0.0801,0.00863708,0.0079827,0.0090403
1947-04-01,Telcm_excess,-0.0025,0.00633958,0.00394363,0.00666405
1947-04-01,Utils_excess,-0.0379,0.00712958,0.00649618,0.00769737
1947-05-01,Durbl_excess,-0.0217,0.01145458,4.114e-05,0.01319617
1947-05-01,Enrgy_excess,0.0253,0.0071325,0.00454568,0.00720745
1947-05-01,HiTec_excess,-0.003,0.00925875,0.00162443,0.01153786
1947-05-01,Hlth_excess,-0.0268,0.00738292,0.00539566,0.00738539
1947-05-01,Manuf_excess,-0.0212,0.00882833,0.0,0.008829
1947-05-01,NoDur_excess,-0.0058,0.00595792,0.00357694,0.00788529
1947-05-01,Other_excess,-0.021,0.00549542,0.0,0.00636295
1947-05-01,Shops_excess,-0.0039,0.00812708,0.00575969,0.01111823
1947-05-01,Telcm_excess,-0.0113,0.00642583,0.00136066,0.00671849
1947-05-01,Utils_excess,-0.0251,0.00691083,0.00352741,0.00969315
1947-06-01,Durbl_excess,0.0585,0.01112875,0.0,0.0120991
1947-06-01,Enrgy_excess,0.0774,0.00705125,0.00519221,0.00716691
1947-06-01,HiTec_excess,0.0384,0.00895167,0.00172789,0.01075174
1947-06-01,Hlth_excess,0.0417,0.00711167,0.00509666,0.00711316
1947-06-01,Manuf_excess,0.0573,0.00854083,0.0,0.00854206
1947-06-01,NoDur_excess,0.0651,0.00560042,0.00335564,0.00695188
1947-06-01,Other_excess,0.0316,0.00514708,0.0,0.00614591
1947-06-01,Shops_excess,0.0987,0.00802583,0.00579092,0.00962314
1947-06-01,Telcm_excess,-0.0322,0.00625167,0.00053182,0.00638256
1947-06-01,Utils_excess,0.0392,0.00643417,0.00283874,0.00821342
1947-07-01,Durbl_excess,0.0517,0.01150917,0.00161561,0.01162433
1947-07-01,Enrgy_excess,0.0385,0.00751583,0.00694453,0.00761293
1947-07-01,HiTec_excess,0.0631,0.00898542,0.0029519,0.01029026
1947-07-01,Hlth_excess,0.0258,0.00727375,0.0058462,0.00727459
1947-07-01,Manuf_excess,0.0384,0.0089075,0.00036853,0.00890776
1947-07-01,NoDur_excess,0.0462,0.00596458,0.00444527,0.00694194
1947-07-01,Other_excess,0.0595,0.00538,0.0,0.00616064
1947-07-01,Shops_excess,0.0458,0.00847333,0.00745997,0.00991074
1947-07-01,Telcm_excess,0.0078,0.00621833,0.00169917,0.00633844
1947-07-01,Utils_excess,0.0248,0.0067575,0.00465875,0.00836438
1947-08-01,Durbl_excess,-0.0079,0.01119125,0.00460104,0.00916935
1947-08-01,Enrgy_excess,-0.0233,0.00756958,0.01190397,0.00765473
1947-08-01,HiTec_excess,-0.0425,0.00874542,0.00912785,0.00924705
1947-08-01,Hlth_excess,-0.0386,0.00698375,0.00768047,0.0069826
1947-08-01,Manuf_excess,-0.0105,0.00857667,0.00740623,0.00857573
1947-08-01,NoDur_excess,-0.0141,0.00596792,0.00637395,0.0059477
1947-08-01,Other_excess,-0.0321,0.00538667,0.00610722,0.00590334
1947-08-01,Shops_excess,-0.0358,0.00826583,0.00912902,0.00803378
1947-08-01,Telcm_excess,0.0033,0.00610792,0.0049469,0.00623381
1947-08-01,Utils_excess,0.0021,0.00664417,0.01091917,0.00778688
1947-09-01,Durbl_excess,0.0011,0.0108775,0.00604033,0.00749168
1947-09-01,Enrgy_excess,-0.0277,0.00748583,0.01436608,0.00759375
1947-09-01,HiTec_excess,0.0108,0.00835042,0.01118515,0.00806136
1947-09-01,Hlth_excess,-0.0269,0.00682333,0.00836484,0.00682031
1947-09-01,Manuf_excess,0.0065,0.00841792,0.00996802,0.00841706
1947-09-01,NoDur_excess,0.0033,0.00580708,0.00731178,0.00481608
1947-09-01,Other_excess,-0.0102,0.00530667,0.00838494,0.00581093
1947-09-01,Shops_excess,-0.0287,0.00782208,0.00934136,0.00550776
1947-09-01,Telcm_excess,0.0077,0.00611542,0.00511785,0.00600722
1947-09-01,Utils_excess,-0.0139,0.00652875,0.013263,0.00650611
1947-10-01,Durbl_excess,0.0287,0.010655,0.00464247,0.00886572
1947-10-01,Enrgy_excess,0.0518,0.00724125,0.01271953,0.00736677
1947-10-01,HiTec_excess,0.0168,0.00835375,0.01020284,0.00941561
1947-10-01,Hlth_excess,0.0115,0.00648417,0.00706802,0.00648215
1947-10-01,Manuf_excess,0.0318,0.00826875,0.00790129,0.00826863
1947-10-01,NoDur_excess,0.013,0.00561,0.00670015,0.00552567
1947-10-01,Other_excess,0.0094,0.00508208,0.00591231,0.0059233
1947-10-01,Shops_excess,0.0297,0.00739875,0.00767113,0.0068706
1947-10-01,Telcm_excess,0.0015,0.00588333,0.00365021,0.00602526
1947-10-01,Utils_excess,0.0009,0.00613417,0.01159668,0.00741553
1947-11-01,Durbl_excess,-0.0276,0.01096875,0.00446676,0.01164971
1947-11-01,Enrgy_excess,-0.0041,0.00755375,0.01257127,0.00766012
1947-11-01,HiTec_excess,-0.0061,0.00873583,0.01002881,0.01150841
1947-11-01,Hlth_excess,-0.0312,0.00632833,0.00646596,0.00632892
1947-11-01,Manuf_excess,-0.0128,0.00869083,0.00760033,0.00869198
1947-11-01,NoDur_excess,-0.0176,0.00570125,0.00641671,0.00707603
1947-11-01,Other_excess,-0.0204,0.00529125,0.00499303,0.00611963
1947-11-01,Shops_excess,-0.0249,0.00773875,0.00762547,0.00916353
1947-11-01,Telcm_excess,-0.0263,0.00598708,0.00343402,0.00606862
1947-11-01,Utils_excess,-0.0769,0.00632958,0.01115421,0.00920496
1947-12-01,Durbl_excess,0.0217,0.01059542,0.0,0.01371909
1947-12-01,Enrgy_excess,0.0926,0.00737042,0.00637344,0.00748817
1947-12-01,HiTec_excess,0.0241,0.00827083,0.00299053,0.01323876
1947-12-01,Hlth_excess,0.0304,0.00605375,0.00231415,0.00605658
1947-12-01,Manuf_excess,0.0256,0.00819417,0.0,0.00819602
1947-12-01,NoDur_excess,0.0062,0.00537333,0.00297424,0.00827772
1947-12-01,Other_excess,0.0363,0.0050275,0.0,0.0062056
1947-12-01,Shops_excess,0.0029,0.00715667,0.00238827,0.01179369
1947-12-01,Telcm_excess,0.0036,0.00576833,0.0,0.00616323
1947-12-01,Utils_excess,0.011,0.00575417,0.00394932,0.01079952
1948-01-01,Durbl_excess,-0.0542,0.01037083,0.0,0.0135639
1948-01-01,Enrgy_excess,-0.075,0.00777542,0.0,0.00789423
1948-01-01,HiTec_excess,-0.056,0.00832875,0.0,0.01355638
1948-01-01,Hlth_excess,-0.0832,0.00620917,0.0,0.00621244
1948-01-01,Manuf_excess,-0.0415,0.00818167,0.0,0.00818249
1948-01-01,NoDur_excess,-0.0276,0.00530417,0.0,0.00845533
1948-01-01,Other_excess,-0.0095,0.00510667,0.0,0.00625507
1948-01-01,Shops_excess,-0.0336,0.00720625,0.0,0.0130252
1948-01-01,Telcm_excess,0.0003,0.00573708,0.0,0.00648814
1948-01-01,Utils_excess,-0.0029,0.00571583,0.0,0.01187879
1948-02-01,Durbl_excess,-0.055,0.01029458,0.0,0.00921142
1948-02-01,Enrgy_excess,-0.0302,0.00755167,0.0,0.00766824
1948-02-01,HiTec_excess,-0.0401,0.00812208,0.0,0.01008495
1948-02-01,Hlth_excess,-0.0361,0.00576042,0.0,0.0057592
1948-02-01,Manuf_excess,-0.054,0.00804292,0.0,0.00804276
1948-02-01,NoDur_excess,-0.062,0.00518,0.0,0.0056299
1948-02-01,Other_excess,-0.0419,0.00511708,0.0,0.0058978
1948-02-01,Shops_excess,-0.0386,0.00711333,0.0,0.00710196
1948-02-01,Telcm_excess,-0.0113,0.00573667,0.0,0.00589597
1948-02-01,Utils_excess,-0.0366,0.00546917,0.0,0.00785334
1948-03-01,Durbl_excess,0.0718,0.01002583,0.0,0.011988
1948-03-01,Enrgy_excess,0.0986,0.00744708,0.00014686,0.00759807
1948-03-01,HiTec_excess,0.1108,0.00798792,0.0,0.01229947
1948-03-01,Hlth_excess,0.0626,0.00576708,0.0,0.00576913
1948-03-01,Manuf_excess,0.0957,0.00791042,0.0,0.00791293
1948-03-01,NoDur_excess,0.054,0.00510083,0.0,0.00727073
1948-03-01,Other_excess,0.0992,0.00504,0.0,0.00625319
1948-03-01,Shops_excess,0.0661,0.00701292,0.0,0.00873906
1948-03-01,Telcm_excess,0.0188,0.00571583,0.0,0.00574645
1948-03-01,Utils_excess,0.0667,0.0053625,0.0,0.00927568
1948-04-01,Durbl_excess,0.0109,0.00919125,0.0,0.01134217
1948-04-01,Enrgy_excess,0.1116,0.00763583,0.00219284,0.00779105
1948-04-01,HiTec_excess,-0.0067,0.00765167,0.0,0.01249511
1948-04-01,Hlth_excess,0.0206,0.00562583,0.0,0.00562851
1948-04-01,Manuf_excess,0.0243,0.0079775,0.0,0.00798016
1948-04-01,NoDur_excess,0.0126,0.00515458,0.0,0.00798812
1948-04-01,Other_excess,0.0318,0.00521583,0.0,0.00665704
1948-04-01,Shops_excess,0.05,0.0069475,0.0,0.01010879
1948-04-01,Telcm_excess,0.0257,0.00572417,0.0,0.00609416
