date,asset,realized,historical_mean,ols,ols_restricted,ols4,ols4_restricted,ridge,ridge_restricted,elastic_net,elastic_net_restricted,random_forest
1967-01-01,Durbl_excess,0.1135,0.01178375,-0.00579018,0.0,-0.03022134,0.0,0.00087831,0.00087831,0.0025499,0.0025499,-0.00448908
1967-01-01,Enrgy_excess,0.0315,0.01093875,0.00780484,0.00780484,-0.01153386,0.0,0.00816109,0.00816109,0.01093875,0.01093875,0.00358631
1967-01-01,HiTec_excess,0.0988,0.01277917,0.03631843,0.03631843,0.01473631,0.01473631,0.02058061,0.02058061,0.01277917,0.01277917,0.01813091
1967-01-01,Hlth_excess,0.0602,0.01061333,0.03362821,0.03362821,0.01958494,0.01958494,0.01061745,0.01061745,0.01061333,0.01061333,0.02122221
1967-01-01,Manuf_excess,0.1076,0.00918917,0.00662417,0.00662417,-0.01098681,0.0,0.00476601,0.00476601,0.00918917,0.00918917,0.00468039
1967-01-01,NoDur_excess,0.0896,0.00677667,0.02239224,0.02239224,0.00806356,0.00806356,0.01239319,0.01239319,0.00677667,0.00677667,0.01416249
1967-01-01,Other_excess,0.1154,0.00839875,0.01674646,0.01674646,-0.00135911,0.0,0.00851889,0.00851889,0.00839875,0.00839875,0.00850256
1967-01-01,Shops_excess,0.1137,0.0073125,0.01497701,0.01497701,-0.00472163,0.0,0.00903654,0.00903654,0.0073125,0.0073125,0.00408168
1967-01-01,Telcm_excess,0.0581,0.00612208,0.02484602,0.02484602,0.01088736,0.01088736,0.00612402,0.00612402,0.0074733,0.0074733,0.01258405
1967-01-01,Utils_excess,0.0241,0.00813917,0.03373057,0.03373057,0.01458759,0.01458759,0.01798686,0.01798686,0.00813917,0.00813917,0.01537742
1967-02-01,Durbl_excess,-0.0145,0.01180375,-0.01032713,0.0,-0.01808806,0.0,-0.00415485,0.0,0.0074041,0.0074041,-0.00340818
1967-02-01,Enrgy_excess,-0.0046,0.01109833,-0.01618955,0.0,-0.00993048,0.0,0.00153497,0.00153497,0.01109833,0.01109833,0.00027277
1967-02-01,HiTec_excess,0.0583,0.01296792,0.03061613,0.03061613,0.01646557,0.01646557,0.01483302,0.01483302,0.01296792,0.01296792,0.01909397
1967-02-01,Hlth_excess,0.0104,0.01108708,0.0077885,0.0077885,0.01741416,0.01741416,0.01108486,0.01108486,0.01108708,0.01108708,0.01918252
1967-02-01,Manuf_excess,0.0086,0.00960125,0.00431182,0.00431182,-0.00563975,0.0,0.00126058,0.00126058,0.00960125,0.00960125,0.00547178
1967-02-01,NoDur_excess,0.0167,0.00714125,0.0173731,0.0173731,0.01060197,0.01060197,0.00884111,0.00884111,0.00714125,0.00714125,0.01617914
1967-02-01,Other_excess,-0.0068,0.00886125,0.02478416,0.02478416,0.00263127,0.00263127,0.0088242,0.0088242,0.00886125,0.00886125,0.01314322
1967-02-01,Shops_excess,0.0286,0.00775875,0.01236323,0.01236323,0.00117785,0.00117785,0.00517824,0.00517824,0.00775875,0.00775875,0.00918952
1967-02-01,Telcm_excess,0.0177,0.0063225,0.01810663,0.01810663,0.01141422,0.01141422,0.00632221,0.00632221,0.00772343,0.00772343,0.01475842
1967-02-01,Utils_excess,-0.0209,0.00824667,0.02112505,0.02112505,0.01154652,0.01154652,0.00893397,0.00893397,0.00824667,0.00824667,0.01126915
1967-03-01,Durbl_excess,0.0345,0.01168292,-0.02177793,0.0,-0.01133408,0.0,-0.00514192,0.0,0.00828065,0.00828065,-0.00604538
1967-03-01,Enrgy_excess,0.0323,0.01119333,-0.01627485,0.0,-0.00552733,0.0,0.00215163,0.00215163,0.01119333,0.01119333,-0.00485923
1967-03-01,HiTec_excess,0.0512,0.01329875,0.0101002,0.0101002,0.01990066,0.01990066,0.00949574,0.00949574,0.01329875,0.01329875,0.01316979
1967-03-01,Hlth_excess,0.0747,0.01130667,0.02618652,0.02618652,0.01988737,0.01988737,0.01130486,0.01130486,0.01130667,0.01130667,0.01385947
1967-03-01,Manuf_excess,0.054,0.00966708,-0.00773329,0.0,-0.00126522,0.0,-0.0009209,0.0,0.00966708,0.00966708,-0.00010114
1967-03-01,NoDur_excess,0.0406,0.00722333,0.00778153,0.00778153,0.01432749,0.01432749,0.0054419,0.0054419,0.00722333,0.00722333,0.01005442
1967-03-01,Other_excess,0.0402,0.0088875,-0.00326003,0.0,0.00742016,0.00742016,0.00154442,0.00154442,0.0088875,0.0088875,0.00337834
1967-03-01,Shops_excess,0.0194,0.00789625,-0.00594692,0.0,0.00635974,0.00635974,0.00074026,0.00074026,0.00789625,0.00789625,0.00163231
1967-03-01,Telcm_excess,0.0257,0.00648292,0.01195458,0.01195458,0.01479338,0.01479338,0.00648129,0.00648129,0.00805069,0.00805069,0.01038096
1967-03-01,Utils_excess,0.0115,0.00819833,0.00039785,0.00039785,0.01481629,0.01481629,0.00203315,0.00203315,0.00819833,0.00819833,0.00281551
1967-04-01,Durbl_excess,0.1074,0.01194042,0.00844609,0.00844609,-0.00647469,0.0,0.00730642,0.00730642,0.00925921,0.00925921,0.00282325
1967-04-01,Enrgy_excess,0.0135,0.01123375,0.00336055,0.00336055,-0.00214672,0.0,0.00679511,0.00679511,0.01123375,0.01123375,0.0032632
1967-04-01,HiTec_excess,0.0751,0.01360875,0.02867062,0.02867062,0.01687343,0.01687343,0.01850979,0.01850979,0.01360875,0.01360875,0.02315032
1967-04-01,Hlth_excess,0.0413,0.01167167,0.02703104,0.02703104,0.01757626,0.01757626,0.011673,0.011673,0.01167167,0.01167167,0.01837791
1967-04-01,Manuf_excess,0.0343,0.00996,0.01217526,0.01217526,0.00077284,0.00077284,0.00783704,0.00783704,0.00996,0.00996,0.00631825
1967-04-01,NoDur_excess,0.0428,0.00748667,0.01957092,0.01957092,0.01173789,0.01173789,0.01180573,0.01180573,0.00748667,0.00748667,0.01130809
1967-04-01,Other_excess,0.0179,0.00919583,0.01632457,0.01632457,0.00653772,0.00653772,0.01005377,0.01005377,0.00919583,0.00919583,0.01162212
1967-04-01,Shops_excess,0.0889,0.00807,0.01750496,0.01750496,0.00545242,0.00545242,0.01079748,0.01079748,0.00807,0.00807,0.00979502
1967-04-01,Telcm_excess,-0.001,0.00668083,0.01843582,0.01843582,0.01150276,0.01150276,0.0066821,0.0066821,0.00759567,0.00759567,0.01200282
1967-04-01,Utils_excess,0.0156,0.00836375,0.01753241,0.01753241,0.01072286,0.01072286,0.01031614,0.01031614,0.00836375,0.00836375,0.00848146
1967-05-01,Durbl_excess,-0.0768,0.01255917,-0.01028013,0.0,0.00746655,0.00746655,-0.00148496,0.0,0.01237754,0.01237754,-0.00128774
