date,asset,realized,historical_mean,ols4_restricted,ridge_restricted,random_forest
1947-01-01,Durbl_excess,0.1087,0.01171542,0.00039278,0.00499415,0.0055709
1947-01-01,Enrgy_excess,-0.0068,0.00680375,0.00620595,0.00672832,0.0080616
1947-01-01,HiTec_excess,0.0535,0.00981917,0.00427765,0.00576596,0.0096376
1947-01-01,Hlth_excess,-0.0535,0.00859042,0.00917127,0.00858726,0.0178453
1947-01-01,Manuf_excess,0.0087,0.0094175,0.0026993,0.00941175,0.00562418
1947-01-01,NoDur_excess,0.0021,0.00666458,0.00534753,0.00438852,0.00524166
1947-01-01,Other_excess,0.0044,0.00624917,0.00258602,0.00528529,0.00247192
1947-01-01,Shops_excess,0.0066,0.00871292,0.00843208,0.00573817,0.00702213
1947-01-01,Telcm_excess,0.01,0.00691958,0.005318,0.00674048,0.00437175
1947-01-01,Utils_excess,-0.0017,0.00738917,0.00746026,0.00514567,0.00622988
1947-02-01,Durbl_excess,0.0145,0.01221708,0.00102158,0.00991223,0.01709768
1947-02-01,Enrgy_excess,-0.0274,0.0067325,0.00492742,0.00667686,0.01188831
1947-02-01,HiTec_excess,-0.0211,0.01009958,0.00398759,0.00897696,0.01381118
1947-02-01,Hlth_excess,-0.0423,0.00816667,0.00759712,0.00816629,0.0207816
1947-02-01,Manuf_excess,-0.0072,0.00946708,0.00173421,0.00946368,0.01378956
1947-02-01,NoDur_excess,-0.003,0.00671083,0.0047522,0.00650723,0.00915094
1947-02-01,Other_excess,-0.0131,0.00621542,0.00147786,0.00576971,0.01020481
1947-02-01,Shops_excess,-0.0044,0.00885667,0.00790108,0.00935172,0.01661641
1947-02-01,Telcm_excess,-0.0208,0.00689333,0.0053655,0.00696441,0.00831591
1947-02-01,Utils_excess,-0.0093,0.00746708,0.0066743,0.00776961,0.0173042
1947-03-01,Durbl_excess,-0.0273,0.011915,0.00118694,0.00973892,0.01477179
1947-03-01,Enrgy_excess,0.0226,0.00656792,0.00454839,0.0065346,0.01007804
