date,asset_i,asset_j,covariance
1947-01-01,NoDur_excess,NoDur_excess,0.0039606255
1947-01-01,NoDur_excess,Durbl_excess,0.0065396643
1947-01-01,NoDur_excess,Manuf_excess,0.0057326447
1947-01-01,NoDur_excess,Enrgy_excess,0.0042737593
1947-01-01,NoDur_excess,HiTec_excess,0.0059523126
1947-01-01,NoDur_excess,Telcm_excess,0.002857091
1947-01-01,NoDur_excess,Shops_excess,0.0049749045
1947-01-01,NoDur_excess,Hlth_excess,0.0042600066
1947-01-01,NoDur_excess,Utils_excess,0.0047748861
1947-01-01,NoDur_excess,Other_excess,0.0055969779
1947-01-01,Durbl_excess,NoDur_excess,0.0065396643
1947-01-01,Durbl_excess,Durbl_excess,0.0143572324
1947-01-01,Durbl_excess,Manuf_excess,0.0110216971
1947-01-01,Durbl_excess,Enrgy_excess,0.0078076738
1947-01-01,Durbl_excess,HiTec_excess,0.0110902337
1947-01-01,Durbl_excess,Telcm_excess,0.0050906966
1947-01-01,Durbl_excess,Shops_excess,0.0089570502
1947-01-01,Durbl_excess,Hlth_excess,0.0072711655
1947-01-01,Durbl_excess,Utils_excess,0.0083532287
1947-01-01,Durbl_excess,Other_excess,0.0101645417
1947-01-01,Manuf_excess,NoDur_excess,0.0057326447
1947-01-01,Manuf_excess,Durbl_excess,0.0110216971
1947-01-01,Manuf_excess,Manuf_excess,0.0099139354
1947-01-01,Manuf_excess,Enrgy_excess,0.0070983629
1947-01-01,Manuf_excess,HiTec_excess,0.0097806132
1947-01-01,Manuf_excess,Telcm_excess,0.004575903
1947-01-01,Manuf_excess,Shops_excess,0.0075940942
1947-01-01,Manuf_excess,Hlth_excess,0.0063250461
1947-01-01,Manuf_excess,Utils_excess,0.0074691268
1947-01-01,Manuf_excess,Other_excess,0.0092343183
1947-01-01,Enrgy_excess,NoDur_excess,0.0042737593
1947-01-01,Enrgy_excess,Durbl_excess,0.0078076738
1947-01-01,Enrgy_excess,Manuf_excess,0.0070983629
1947-01-01,Enrgy_excess,Enrgy_excess,0.0071763691
1947-01-01,Enrgy_excess,HiTec_excess,0.0070761067
1947-01-01,Enrgy_excess,Telcm_excess,0.0033312854
1947-01-01,Enrgy_excess,Shops_excess,0.0056216918
1947-01-01,Enrgy_excess,Hlth_excess,0.0047567513
1947-01-01,Enrgy_excess,Utils_excess,0.0055673243
1947-01-01,Enrgy_excess,Other_excess,0.0068269517
1947-01-01,HiTec_excess,NoDur_excess,0.0059523126
1947-01-01,HiTec_excess,Durbl_excess,0.0110902337
1947-01-01,HiTec_excess,Manuf_excess,0.0097806132
1947-01-01,HiTec_excess,Enrgy_excess,0.0070761067
1947-01-01,HiTec_excess,HiTec_excess,0.0107894998
1947-01-01,HiTec_excess,Telcm_excess,0.0048371013
1947-01-01,HiTec_excess,Shops_excess,0.0079234239
1947-01-01,HiTec_excess,Hlth_excess,0.0067332124
1947-01-01,HiTec_excess,Utils_excess,0.0083102912
1947-01-01,HiTec_excess,Other_excess,0.0092930063
1947-01-01,Telcm_excess,NoDur_excess,0.002857091
1947-01-01,Telcm_excess,Durbl_excess,0.0050906966
1947-01-01,Telcm_excess,Manuf_excess,0.004575903
1947-01-01,Telcm_excess,Enrgy_excess,0.0033312854
1947-01-01,Telcm_excess,HiTec_excess,0.0048371013
1947-01-01,Telcm_excess,Telcm_excess,0.0032528406
1947-01-01,Telcm_excess,Shops_excess,0.0038153481
1947-01-01,Telcm_excess,Hlth_excess,0.0033004582
1947-01-01,Telcm_excess,Utils_excess,0.0043786951
1947-01-01,Telcm_excess,Other_excess,0.0046377192
1947-01-01,Shops_excess,NoDur_excess,0.0049749045
1947-01-01,Shops_excess,Durbl_excess,0.0089570502
1947-01-01,Shops_excess,Manuf_excess,0.0075940942
1947-01-01,Shops_excess,Enrgy_excess,0.0056216918
1947-01-01,Shops_excess,HiTec_excess,0.0079234239
1947-01-01,Shops_excess,Telcm_excess,0.0038153481
1947-01-01,Shops_excess,Shops_excess,0.0074301005
1947-01-01,Shops_excess,Hlth_excess,0.0056724965
1947-01-01,Shops_excess,Utils_excess,0.006410818
1947-01-01,Shops_excess,Other_excess,0.0072557298
1947-01-01,Hlth_excess,NoDur_excess,0.0042600066
1947-01-01,Hlth_excess,Durbl_excess,0.0072711655
1947-01-01,Hlth_excess,Manuf_excess,0.0063250461
1947-01-01,Hlth_excess,Enrgy_excess,0.0047567513
1947-01-01,Hlth_excess,HiTec_excess,0.0067332124
1947-01-01,Hlth_excess,Telcm_excess,0.0033004582
1947-01-01,Hlth_excess,Shops_excess,0.0056724965
1947-01-01,Hlth_excess,Hlth_excess,0.006000227
1947-01-01,Hlth_excess,Utils_excess,0.0055399714
1947-01-01,Hlth_excess,Other_excess,0.0062124337
1947-01-01,Utils_excess,NoDur_excess,0.0047748861
1947-01-01,Utils_excess,Durbl_excess,0.0083532287
1947-01-01,Utils_excess,Manuf_excess,0.0074691268
1947-01-01,Utils_excess,Enrgy_excess,0.0055673243
1947-01-01,Utils_excess,HiTec_excess,0.0083102912
1947-01-01,Utils_excess,Telcm_excess,0.0043786951
1947-01-01,Utils_excess,Shops_excess,0.006410818
1947-01-01,Utils_excess,Hlth_excess,0.0055399714
1947-01-01,Utils_excess,Utils_excess,0.0088333067
1947-01-01,Utils_excess,Other_excess,0.0077860515
1947-01-01,Other_excess,NoDur_excess,0.0055969779
1947-01-01,Other_excess,Durbl_excess,0.0101645417
1947-01-01,Other_excess,Manuf_excess,0.0092343183
1947-01-01,Other_excess,Enrgy_excess,0.0068269517
1947-01-01,Other_excess,HiTec_excess,0.0092930063
1947-01-01,Other_excess,Telcm_excess,0.0046377192
1947-01-01,Other_excess,Shops_excess,0.0072557298
1947-01-01,Other_excess,Hlth_excess,0.0062124337
1947-01-01,Other_excess,Utils_excess,0.0077860515
1947-01-01,Other_excess,Other_excess,0.0101449139
1947-02-01,NoDur_excess,NoDur_excess,0.0039596838
1947-02-01,NoDur_excess,Durbl_excess,0.006536254
1947-02-01,NoDur_excess,Manuf_excess,0.0057318291
1947-02-01,NoDur_excess,Enrgy_excess,0.0042742516
1947-02-01,NoDur_excess,HiTec_excess,0.0059499173
1947-02-01,NoDur_excess,Telcm_excess,0.0028576482
1947-02-01,NoDur_excess,Shops_excess,0.0049725385
1947-02-01,NoDur_excess,Hlth_excess,0.0042638083
1947-02-01,NoDur_excess,Utils_excess,0.0047732347
1947-02-01,NoDur_excess,Other_excess,0.0055974244
1947-02-01,Durbl_excess,NoDur_excess,0.006536254
1947-02-01,Durbl_excess,Durbl_excess,0.0143940413
1947-02-01,Durbl_excess,Manuf_excess,0.0110201447
1947-02-01,Durbl_excess,Enrgy_excess,0.0078025319
1947-02-01,Durbl_excess,HiTec_excess,0.0111055038
1947-02-01,Durbl_excess,Telcm_excess,0.0050928789
