date,yyyymm,Rfree,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,NoDur_excess,Durbl_excess,Manuf_excess,Enrgy_excess,HiTec_excess,Telcm_excess,Shops_excess,Hlth_excess,Utils_excess,Other_excess,dp,ep,b/m,tbl,lty,tms,dfy,ntis,infl,ltr,dfr,svar,dp_lag1,ep_lag1,b/m_lag1,tbl_lag1,lty_lag1,tms_lag1,dfy_lag1,ntis_lag1,infl_lag1,ltr_lag1,dfr_lag1,svar_lag1
1927-01-01,192701,0.0025,-0.0065,-0.0092,-0.0007,0.0128,-0.0113,0.0188,-0.0254,0.0507,-0.0179,0.015,-0.009,-0.0117,-0.0032,0.0103,-0.0138,0.0163,-0.0279,0.0482,-0.0204,0.0125,-2.942374,-2.374773,0.443706,0.0323,0.0351,0.0028,0.0095,0.050824,-0.011299,0.0075,-0.0019,0.00047,-2.973012,-2.386837,0.441476,0.0307,0.0354,0.0047,0.01,0.050876,0.0,0.0078,-0.0022,0.000465
1927-02-01,192702,0.0026,0.0336,0.0896,0.0581,0.0147,0.0445,0.0397,0.0362,0.0171,0.0454,0.0507,0.031,0.087,0.0555,0.0121,0.0419,0.0371,0.0336,0.0145,0.0428,0.0481,-2.979535,-2.430353,0.428501,0.0329,0.0347,0.0018,0.0092,0.051668,-0.005714,0.0088,-0.0019,0.000287,-2.942374,-2.374773,0.443706,0.0323,0.0351,0.0028,0.0095,0.050824,-0.011299,0.0075,-0.0019,0.00047
1927-03-01,192703,0.003,0.0277,0.0162,0.0145,-0.0604,0.0147,0.0562,-0.0046,0.0101,0.0037,0.0117,0.0247,0.0132,0.0115,-0.0634,0.0117,0.0532,-0.0076,0.0071,0.0007,0.0087,-2.976535,-2.445079,0.469765,0.032,0.0331,0.0011,0.0092,0.046357,-0.005747,0.0253,-0.017,0.000924,-2.979535,-2.430353,0.428501,0.0329,0.0347,0.0018,0.0092,0.051668,-0.005714,0.0088,-0.0019,0.000287
1927-04-01,192704,0.0025,0.0351,0.0314,0.0076,-0.0517,0.054,-0.0207,0.0448,0.0274,0.0171,0.0086,0.0326,0.0289,0.0051,-0.0542,0.0515,-0.0232,0.0423,0.0249,0.0146,0.0061,-2.984225,-2.471309,0.456754,0.0339,0.0333,-0.0006,0.009,0.050514,0.0,-0.0005,0.006,0.000603,-2.976535,-2.445079,0.469765,0.032,0.0331,0.0011,0.0092,0.046357,-0.005747,0.0253,-0.017,0.000924
1927-05-01,192705,0.003,0.083,0.0595,0.0508,0.0478,0.0737,0.0335,0.0234,0.0413,0.0923,0.0656,0.08,0.0565,0.0478,0.0448,0.0707,0.0305,0.0204,0.0383,0.0893,0.0626,-3.025963,-2.531446,0.434783,0.0333,0.0327,-0.0006,0.0093,0.055275,0.00578,0.0109,-0.012,0.000392,-2.984225,-2.471309,0.456754,0.0339,0.0333,-0.0006,0.009,0.050514,0.0,-0.0005,0.006,0.000603
1927-06-01,192706,0.0026,-0.0197,-0.0302,-0.0281,-0.0315,0.0329,-0.0216,-0.0061,0.0054,-0.0358,-0.0217,-0.0223,-0.0328,-0.0307,-0.0341,0.0303,-0.0242,-0.0087,0.0028,-0.0384,-0.0243,-3.007309,-2.53133,0.452385,0.0307,0.0334,0.0027,0.0097,0.058823,0.011494,-0.0069,0.0112,0.000825,-3.025963,-2.531446,0.434783,0.0333,0.0327,-0.0006,0.0093,0.055275,0.00578,0.0109,-0.012,0.000392
1927-07-01,192707,0.003,0.0484,0.131,0.1208,0.0286,0.1237,0.0373,0.0986,0.0984,0.055,0.0609,0.0454,0.128,0.1178,0.0256,0.1207,0.0343,0.0956,0.0954,0.052,0.0579,-3.061144,-2.603707,0.414553,0.0296,0.0333,0.0037,0.0095,0.059753,-0.017045,0.005,-0.0047,0.000426,-3.007309,-2.53133,0.452385,0.0307,0.0334,0.0027,0.0097,0.058823,0.011494,-0.0069,0.0112,0.000825
1927-08-01,192708,0.0028,0.0273,0.0702,0.0304,-0.0004,0.0551,0.0043,0.0735,0.0027,0.0326,-0.0101,0.0245,0.0674,0.0276,-0.0032,0.0523,0.0015,0.0707,-0.0001,0.0298,-0.0129,-3.095764,-2.656742,0.396227,0.027,0.0329,0.0059,0.0092,0.054525,-0.00578,0.0076,0.0007,0.001276,-3.061144,-2.603707,0.414553,0.0296,0.0333,0.0037,0.0095,0.059753,-0.017045,0.005,-0.0047,0.000426
1927-09-01,192709,0.0021,0.0527,0.0566,0.0444,0.0331,0.0121,0.0655,0.075,0.0566,0.0829,0.0458,0.0506,0.0545,0.0423,0.031,0.01,0.0634,0.0729,0.0545,0.0808,0.0437,-3.129097,-2.707759,0.380586,0.0268,0.033,0.0062,0.0088,0.094616,0.005814,0.0018,0.0131,0.001123,-3.095764,-2.656742,0.396227,0.027,0.0329,0.0059,0.0092,0.054525,-0.00578,0.0076,0.0007,0.001276
1927-10-01,192710,0.0025,-0.0064,-0.0441,-0.067,-0.0207,-0.0724,-0.0209,-0.0494,0.0514,-0.0435,-0.0383,-0.0089,-0.0466,-0.0695,-0.0232,-0.0749,-0.0234,-0.0519,0.0489,-0.046,-0.0408,-3.06565,-2.662875,0.413801,0.0308,0.0325,0.0017,0.0087,0.09437,0.00578,0.0099,-0.0044,0.001559,-3.129097,-2.707759,0.380586,0.0268,0.033,0.0062,0.0088,0.094616,0.005814,0.0018,0.0131,0.001123
